Date,PG
2016-04-28,62.04249572753906
2016-04-29,62.32253646850586
2016-05-02,62.98371505737305
2016-05-03,63.0848388671875
2016-05-04,63.473758697509766
2016-05-05,63.240413665771484
2016-05-06,63.88605499267578
2016-05-09,63.87826919555664
2016-05-10,64.15831756591797
2016-05-11,63.901607513427734
2016-05-12,64.10384368896484
2016-05-13,63.185951232910156
2016-05-16,63.49710464477539
2016-05-17,62.711448669433594
2016-05-18,62.11249542236328
2016-05-19,62.376983642578125
2016-05-20,62.24475860595703
2016-05-23,62.3847541809082
2016-05-24,62.98371505737305
2016-05-25,63.38042068481445
2016-05-26,63.178192138671875
2016-05-27,63.341529846191406
2016-05-31,63.03816604614258
2016-06-01,63.62157440185547
2016-06-02,63.746009826660156
2016-06-03,64.15050506591797
2016-06-06,64.38387298583984
