Date,CIEINDIA.NS
2016-01-18,200.27474975585938
2016-01-19,202.33351135253906
2016-01-20,201.42384338378906
2016-01-21,201.13658142089844
2016-01-22,210.95162963867188
2016-01-25,220.52728271484375
2016-01-27,217.36729431152344
2016-01-28,220.3836212158203
2016-01-29,224.78842163085938
2016-02-01,226.60780334472656
2016-02-02,225.02783203125
2016-02-03,212.6273651123047
2016-02-04,211.66978454589844
2016-02-05,209.3716278076172
2016-02-08,208.60557556152344
2016-02-09,203.19534301757812
2016-02-10,194.0505828857422
2016-02-11,180.2616424560547
2016-02-12,178.2986297607422
2016-02-15,185.9591827392578
2016-02-16,182.0331573486328
2016-02-17,181.9373779296875
2016-02-18,188.3530731201172
2016-02-19,183.90040588378906
2016-02-22,184.37918090820312
2016-02-23,169.58480834960938
2016-02-24,163.6000213623047
2016-02-25,160.91883850097656
2016-02-26,157.47158813476562
2016-02-29,151.29530334472656
2016-03-01,160.24855041503906
2016-03-02,159.769775390625
2016-03-03,173.17567443847656
2016-03-04,174.27685546875
2016-03-08,174.08534240722656
2016-03-09,174.51625061035156
2016-03-10,171.9787139892578
2016-03-11,172.12232971191406
2016-03-14,170.54237365722656
2016-03-15,165.51515197753906
2016-03-16,164.8448486328125
2016-03-17,162.4988250732422
2016-03-18,188.3530731201172
2016-03-21,186.77308654785156
2016-03-22,184.71432495117188
2016-03-23,187.0603790283203
2016-03-28,183.70889282226562
2016-03-29,179.73500061035156
2016-03-30,178.82528686523438
2016-03-31,187.82640075683594
2016-04-01,185.3367462158203
2016-04-04,185.76766967773438
2016-04-05,185.52825927734375
2016-04-06,181.88951110839844
2016-04-07,178.39439392089844
2016-04-08,179.8307342529297
2016-04-11,191.36940002441406
2016-04-12,196.39662170410156
2016-04-13,198.16810607910156
2016-04-18,199.46083068847656
2016-04-20,198.12022399902344
2016-04-21,200.70565795898438
2016-04-22,194.0505828857422
2016-04-25,195.15179443359375
2016-04-26,193.71543884277344
2016-04-27,193.33241271972656
2016-04-28,191.60879516601562
2016-04-29,189.78941345214844
2016-05-02,185.4324951171875
2016-05-03,186.34219360351562
2016-05-04,179.8307342529297
2016-05-05,181.36285400390625
2016-05-06,181.21920776367188
2016-05-09,181.45860290527344
2016-05-10,181.1713409423828
2016-05-11,179.44772338867188
2016-05-12,178.01136779785156
2016-05-13,183.6610107421875
2016-05-16,182.75132751464844
2016-05-17,184.28343200683594
2016-05-18,181.84164428710938
2016-05-19,177.91561889648438
2016-05-20,178.58590698242188
2016-05-23,177.48472595214844
2016-05-24,176.14413452148438
2016-05-25,184.33131408691406
2016-05-26,189.16700744628906
2016-05-27,187.68276977539062
