Date,ECLERX.NS
2016-06-02,952.5231323242188
2016-06-03,924.7335205078125
2016-06-06,938.4629516601562
2016-06-07,949.6448974609375
2016-06-08,966.9142456054688
2016-06-09,1007.7384643554688
2016-06-10,1018.3912963867188
2016-06-13,989.7744750976562
2016-06-14,992.3880004882812
2016-06-15,987.4257202148438
2016-06-16,968.3037719726562
2016-06-17,969.8255004882812
2016-06-20,961.5217895507812
2016-06-21,951.8615112304688
2016-06-22,950.1080322265625
2016-06-23,938.6283569335938
2016-06-24,934.360595703125
2016-06-27,939.6209716796875
2016-06-28,960.6947021484375
2016-06-29,961.8195190429688
2016-06-30,956.7578735351562
2016-07-01,949.2479248046875
2016-07-04,935.9393920898438
2016-07-05,934.846923828125
2016-07-07,960.437744140625
2016-07-08,962.5234985351562
2016-07-11,954.4786376953125
