Date,DIVOPPBEES.NS
2020-02-07,29.309999465942383
2020-02-10,28.860000610351562
2020-02-11,29.190000534057617
2020-02-12,29.3799991607666
2020-02-13,29.34000015258789
2020-02-14,29.200000762939453
2020-02-17,28.950000762939453
2020-02-18,28.8700008392334
2020-02-19,29.0
2020-02-20,29.030000686645508
2020-02-24,28.56999969482422
2020-02-25,28.600000381469727
2020-02-26,28.209999084472656
2020-02-27,28.0
2020-02-28,27.0
2020-03-02,26.989999771118164
2020-03-03,27.309999465942383
2020-03-04,27.15999984741211
2020-03-05,27.530000686645508
2020-03-06,28.59000015258789
2020-03-09,26.719999313354492
2020-03-11,25.18000030517578
2020-03-12,24.600000381469727
2020-03-13,25.0
2020-03-16,25.0
2020-03-17,22.989999771118164
2020-03-18,23.8700008392334
2020-03-19,23.0
2020-03-20,24.75
