Date,ADEN.SW
2016-05-20,36.915283203125
2016-05-23,37.19731521606445
2016-05-24,37.69871520996094
2016-05-25,37.886741638183594
2016-05-26,37.91807556152344
2016-05-27,37.73005294799805
2016-05-30,37.69871520996094
2016-05-31,37.761390686035156
2016-06-01,37.69871520996094
2016-06-02,37.855403900146484
2016-06-03,37.47935485839844
2016-06-06,37.761390686035156
2016-06-07,37.91807556152344
2016-06-08,37.416683197021484
2016-06-09,37.354000091552734
2016-06-10,36.35121154785156
2016-06-13,35.56778335571289
2016-06-14,34.72167205810547
2016-06-15,34.75300979614258
2016-06-16,34.470977783203125
2016-06-17,34.90970230102539
2016-06-20,36.13185119628906
2016-06-21,36.257198333740234
2016-06-22,36.664588928222656
2016-06-23,37.32266616821289
2016-06-24,33.154815673828125
