Date,C
2016-04-28,35.426475524902344
2016-04-29,35.08531188964844
2016-05-02,35.388553619384766
2016-05-03,34.547054290771484
2016-05-04,33.85717010498047
2016-05-05,33.531185150146484
2016-05-06,33.66764831542969
2016-05-09,33.27342224121094
2016-05-10,33.99364471435547
2016-05-11,33.713138580322266
2016-05-12,33.356815338134766
2016-05-13,32.68210220336914
2016-05-16,32.712440490722656
2016-05-17,33.129398345947266
2016-05-18,34.77449035644531
2016-05-19,34.16043472290039
2016-05-20,34.039127349853516
2016-05-23,34.19832992553711
2016-05-24,34.766902923583984
2016-05-25,35.58566665649414
2016-05-26,34.95643615722656
2016-05-27,35.312744140625
2016-05-31,35.3051643371582
2016-06-01,35.58566665649414
2016-06-02,35.60841751098633
2016-06-03,34.41059112548828
2016-06-06,34.67593765258789
