Date,BKG.L
2017-12-01,3950.805419921875
2017-12-04,3988.04736328125
2017-12-05,4023.2216796875
2017-12-06,4001.49658203125
2017-12-07,3978.7373046875
2017-12-08,4254.95263671875
2017-12-11,4258.0556640625
2017-12-12,4241.50341796875
2017-12-13,4244.37353515625
2017-12-14,4242.5380859375
2017-12-15,4303.57470703125
2017-12-18,4349.0927734375
2017-12-19,4342.88623046875
2017-12-20,4355.2998046875
2017-12-21,4313.91943359375
2017-12-22,4349.0927734375
2017-12-27,4359.4384765625
2017-12-28,4381.16259765625
2017-12-29,4341.8515625
2018-01-02,4366.6796875
2018-01-03,4370.81787109375
2018-01-04,4339.7822265625
2018-01-05,4370.81787109375
2018-01-08,4365.64501953125
2018-01-09,4386.3359375
2018-01-10,4360.47265625
2018-01-11,4284.95263671875
2018-01-12,4267.36669921875
2018-01-15,4241.50341796875
2018-01-16,4262.19384765625
2018-01-17,4271.5048828125
2018-01-18,4292.1953125
2018-01-19,4366.6796875
2018-01-22,4282.8837890625
2018-01-23,4287.0224609375
2018-01-24,4260.12451171875
2018-01-25,4251.85009765625
2018-01-26,4255.986328125
2018-01-29,4244.607421875
2018-01-30,4191.8466796875
2018-01-31,4102.87939453125
2018-02-01,4091.498779296875
2018-02-02,4032.532470703125
2018-02-05,3999.427978515625
2018-02-06,3981.841064453125
2018-02-07,4034.60107421875
2018-02-08,3853.5615234375
2018-02-09,3889.76904296875
2018-02-12,3908.39111328125
2018-02-13,3914.597412109375
2018-02-14,3918.736083984375
2018-02-15,3920.80419921875
2018-02-16,3931.149658203125
2018-02-19,3916.66650390625
2018-02-20,3981.841064453125
2018-02-21,4023.2216796875
2018-02-22,3989.082763671875
2018-02-23,3983.909912109375
2018-02-26,3995.289306640625
2018-02-27,4026.32470703125
2018-02-28,3987.013916015625
2018-03-01,3896.55029296875
2018-03-02,3895.51513671875
2018-03-05,3919.312744140625
2018-03-06,3937.936279296875
2018-03-07,3948.282958984375
2018-03-08,3955.52587890625
2018-03-09,3989.670166015625
2018-03-12,3984.49658203125
2018-03-13,3978.28857421875
2018-03-14,4015.5361328125
2018-03-15,4058.992431640625
2018-03-16,3841.71240234375
2018-03-19,3901.72314453125
2018-03-20,3957.5947265625
2018-03-21,3960.698974609375
2018-03-22,3865.509765625
2018-03-23,3885.16845703125
2018-03-26,3891.376953125
2018-03-27,3904.82763671875
2018-03-28,3913.1044921875
2018-03-29,3920.34716796875
2018-04-03,3914.139404296875
2018-04-04,3916.20849609375
2018-04-05,3991.739013671875
2018-04-06,3995.87744140625
2018-04-09,3980.358154296875
2018-04-10,4035.195556640625
2018-04-11,4031.056640625
2018-04-12,4017.605712890625
2018-04-13,4041.4033203125
2018-04-16,4019.675048828125
2018-04-17,4050.715087890625
2018-04-18,4066.234619140625
2018-04-19,4086.927978515625
2018-04-20,4103.48291015625
2018-04-23,4130.38427734375
2018-04-24,4132.4541015625
2018-04-25,4137.62646484375
2018-04-26,4124.1767578125
2018-04-27,4205.9150390625
2018-04-30,4213.1572265625
2018-05-01,4250.40576171875
2018-05-02,4232.81591796875
2018-05-03,4265.9248046875
2018-05-04,4217.29638671875
2018-05-08,4254.54443359375
2018-05-09,4285.583984375
2018-05-10,4288.68896484375
2018-05-11,4345.59423828125
2018-05-14,4280.41064453125
2018-05-15,4345.59423828125
2018-05-16,4307.3115234375
2018-05-17,4324.90185546875
2018-05-18,4331.10986328125
2018-05-21,4402.50146484375
2018-05-22,4399.396484375
2018-05-23,4334.21337890625
2018-05-24,4348.6982421875
2018-05-25,4416.98583984375
2018-05-29,4371.4609375
2018-05-30,4382.8427734375
2018-05-31,4393.18994140625
2018-06-01,4403.5361328125
2018-06-04,4411.8134765625
2018-06-05,4371.4609375
2018-06-06,4441.81884765625
2018-06-07,4440.7841796875
2018-06-08,4470.78955078125
2018-06-11,4454.23388671875
2018-06-12,4331.10986328125
2018-06-13,4323.8662109375
2018-06-14,4344.56005859375
2018-06-15,4321.7978515625
2018-06-18,4366.28857421875
2018-06-19,4280.41064453125
2018-06-20,4027.95263671875
2018-06-21,3911.034912109375
2018-06-22,3951.38720703125
2018-06-25,3887.237548828125
2018-06-26,3893.44580078125
2018-06-27,3891.376953125
2018-06-28,3859.302001953125
2018-06-29,3916.20849609375
2018-07-02,3837.574462890625
2018-07-03,3828.261962890625
2018-07-04,3819.985107421875
2018-07-05,3737.211669921875
2018-07-06,3700.998046875
2018-07-09,3702.03271484375
2018-07-10,3696.859619140625
2018-07-11,3713.4140625
2018-07-12,3746.5234375
2018-07-13,3745.48876953125
2018-07-16,3738.052734375
2018-07-17,3812.741943359375
2018-07-18,3804.46435546875
2018-07-19,3824.123779296875
2018-07-20,3833.435791015625
2018-07-23,3783.770751953125
2018-07-24,3829.296875
2018-07-25,3864.475341796875
2018-07-26,3853.09375
2018-07-27,3858.26708984375
2018-07-30,3808.603271484375
2018-07-31,3862.40576171875
2018-08-01,3844.81640625
2018-08-02,3773.4248046875
2018-08-03,3803.429931640625
2018-08-06,3828.261962890625
2018-08-07,3865.509765625
2018-08-08,3867.579833984375
2018-08-09,3836.539306640625
2018-08-10,3828.261962890625
2018-08-13,3821.019287109375
2018-08-14,3785.8408203125
2018-08-15,3772.390380859375
2018-08-16,3845.8515625
2018-08-17,3866.544677734375
2018-08-20,3824.123779296875
2018-08-21,3848.955322265625
2018-08-22,3839.643310546875
2018-08-23,3828.605224609375
2018-08-24,3761.345947265625
2018-08-28,3793.423095703125
2018-08-29,3801.701904296875
2018-08-30,3791.354736328125
2018-08-31,3769.623779296875
2018-09-03,3797.5625
2018-09-04,3632.001220703125
2018-09-05,3660.974853515625
2018-09-06,3700.29541015625
2018-09-07,3686.843505859375
2018-09-10,3729.2685546875
2018-09-11,3729.2685546875
2018-09-12,3736.511474609375
2018-09-13,3713.747314453125
2018-09-14,3736.511474609375
2018-09-17,3753.068115234375
2018-09-18,3738.581298828125
2018-09-19,3824.46630859375
2018-09-20,3831.70947265625
2018-09-21,3795.493408203125
2018-09-24,3764.45068359375
2018-09-25,3785.1455078125
2018-09-26,3794.45849609375
2018-09-27,3826.5361328125
2018-09-28,3806.87548828125
2018-10-01,3678.5654296875
2018-10-02,3620.619140625
2018-10-03,3658.905029296875
2018-10-04,3655.801025390625
2018-10-05,3664.07861328125
2018-10-08,3615.445068359375
2018-10-09,3588.54150390625
2018-10-10,3559.568115234375
2018-10-11,3425.049560546875
2018-10-12,3492.30908203125
2018-10-15,3469.544189453125
2018-10-16,3518.177978515625
2018-10-17,3422.980224609375
2018-10-18,3451.953369140625
2018-10-19,3372.27734375
2018-10-22,3411.597900390625
2018-10-23,3387.79833984375
2018-10-24,3398.145263671875
2018-10-25,3454.02294921875
2018-10-26,3422.980224609375
2018-10-29,3498.517333984375
2018-10-30,3607.167236328125
2018-10-31,3622.688720703125
2018-11-01,3704.434326171875
2018-11-02,3759.2763671875
2018-11-05,3758.2421875
2018-11-06,3725.129150390625
2018-11-07,3725.129150390625
2018-11-08,3783.07568359375
2018-11-09,3766.52001953125
2018-11-12,3680.634765625
2018-11-13,3809.979736328125
2018-11-14,3785.1455078125
2018-11-15,3548.18603515625
2018-11-16,3482.996337890625
2018-11-19,3488.17041015625
2018-11-20,3467.474853515625
2018-11-21,3527.490478515625
2018-11-22,3595.784423828125
2018-11-23,3659.940185546875
2018-11-26,3641.314208984375
2018-11-27,3585.436767578125
2018-11-28,3486.100341796875
2018-11-29,3420.91064453125
2018-11-30,3338.1298828125
2018-12-03,3360.89501953125
2018-12-04,3342.269287109375
2018-12-05,3541.977294921875
2018-12-06,3436.431884765625
2018-12-07,3472.648681640625
2018-12-10,3342.269287109375
2018-12-11,3426.08447265625
2018-12-12,3621.65380859375
2018-12-13,3619.583984375
2018-12-14,3551.29052734375
2018-12-17,3434.3623046875
2018-12-18,3458.162109375
2018-12-19,3521.28173828125
2018-12-20,3535.8427734375
2018-12-21,3519.286865234375
2018-12-24,3474.790771484375
2018-12-27,3471.686767578125
2018-12-28,3536.87744140625
2018-12-31,3599.999267578125
2019-01-02,3583.44287109375
2019-01-03,3597.9296875
2019-01-04,3676.57275390625
2019-01-07,3668.294677734375
2019-01-08,3736.58984375
2019-01-09,3865.937255859375
2019-01-10,3864.902587890625
2019-01-11,3880.424560546875
2019-01-14,3880.424560546875
2019-01-15,3854.554931640625
2019-01-16,3932.163818359375
2019-01-17,3911.467529296875
2019-01-18,3974.589111328125
2019-01-21,3947.68505859375
2019-01-22,3917.6767578125
2019-01-23,3921.815673828125
2019-01-24,3928.024658203125
2019-01-25,3910.432861328125
2019-01-28,3880.424560546875
2019-01-29,3896.98095703125
2019-01-30,3926.989501953125
2019-01-31,3883.52880859375
2019-02-01,3937.337646484375
2019-02-04,3933.197998046875
2019-02-05,3942.51171875
2019-02-06,3963.207275390625
2019-02-07,3888.702392578125
2019-02-08,3929.059326171875
2019-02-11,3975.624267578125
2019-02-12,3906.293701171875
2019-02-13,3939.4072265625
2019-02-14,3922.850341796875
2019-02-15,3953.893798828125
2019-02-18,3949.755126953125
2019-02-19,3973.554931640625
2019-02-20,3964.24169921875
2019-02-21,3959.06787109375
2019-02-22,3965.2763671875
2019-02-25,3956.997802734375
2019-02-26,4056.3369140625
2019-02-27,4087.380859375
2019-02-28,4087.380859375
2019-03-01,4069.789306640625
2019-03-04,4085.311279296875
2019-03-05,4087.380859375
2019-03-06,4087.380859375
2019-03-07,4035.641357421875
2019-03-08,4034.606689453125
2019-03-11,3988.041015625
2019-03-12,4044.954833984375
2019-03-13,4045.989501953125
2019-03-14,4042.885009765625
2019-03-15,4119.4580078125
2019-03-18,4083.24169921875
2019-03-19,4102.90234375
2019-03-20,3971.485107421875
2019-03-21,3928.024658203125
2019-03-22,3911.467529296875
2019-03-25,3919.74609375
2019-03-26,3912.50244140625
2019-03-27,3919.74609375
2019-03-28,3889.737548828125
2019-03-29,3817.302978515625
2019-04-01,3854.554931640625
2019-04-02,3882.494140625
2019-04-03,3959.06787109375
2019-04-04,3976.6591796875
2019-04-05,3908.364013671875
2019-04-08,3906.293701171875
2019-04-09,3823.51171875
2019-04-10,3822.47705078125
2019-04-11,3952.859375
2019-04-12,3960.10302734375
2019-04-15,3991.14599609375
2019-04-16,3980.798095703125
2019-04-17,3972.519775390625
2019-04-18,3983.902587890625
2019-04-23,3950.78955078125
2019-04-24,3976.6591796875
2019-04-25,3913.53759765625
2019-04-26,3928.024658203125
2019-04-29,3938.372314453125
2019-04-30,3886.633544921875
2019-05-01,3911.467529296875
2019-05-02,3840.068115234375
2019-05-03,3859.72900390625
2019-05-07,3832.824951171875
2019-05-08,3779.01611328125
2019-05-09,3825.58154296875
2019-05-10,3839.033447265625
2019-05-13,3789.364013671875
2019-05-14,3843.172607421875
2019-05-15,3860.763671875
2019-05-16,3896.98095703125
2019-05-17,3911.467529296875
2019-05-20,3781.085693359375
2019-05-21,3846.277099609375
2019-05-22,3682.78173828125
2019-05-23,3630.00732421875
2019-05-24,3636.216552734375
2019-05-28,3635.181884765625
2019-05-29,3632.077392578125
2019-05-30,3661.051025390625
2019-05-31,3617.59033203125
2019-06-03,3556.53857421875
2019-06-04,3644.494384765625
2019-06-05,3713.8251953125
2019-06-06,3699.337890625
2019-06-07,3690.025146484375
2019-06-10,3691.059326171875
2019-06-11,3720.03369140625
2019-06-12,3718.9990234375
2019-06-13,3730.381591796875
2019-06-14,3652.773193359375
2019-06-17,3655.87744140625
2019-06-18,3682.78173828125
2019-06-19,3675.5380859375
2019-06-20,3648.6337890625
2019-06-21,3691.059326171875
2019-06-24,3699.337890625
2019-06-25,3728.311767578125
2019-06-26,3685.8857421875
2019-06-27,3705.546630859375
2019-06-28,3860.763671875
2019-07-01,3874.215576171875
2019-07-02,3908.364013671875
2019-07-03,3966.311767578125
2019-07-04,3924.919677734375
2019-07-05,3852.485107421875
2019-07-08,3853.5205078125
2019-07-09,3847.311767578125
2019-07-10,3869.04150390625
2019-07-11,3923.885498046875
2019-07-12,3977.693603515625
2019-07-15,3952.859375
2019-07-16,3960.10302734375
2019-07-17,3965.2763671875
2019-07-18,3962.172119140625
2019-07-19,3886.633544921875
2019-07-22,3939.4072265625
2019-07-23,3914.572509765625
2019-07-24,3989.07666015625
2019-07-25,3983.902587890625
2019-07-26,4082.20703125
2019-07-29,4099.7978515625
2019-07-30,4018.05029296875
2019-07-31,4012.87646484375
2019-08-01,4051.163818359375
2019-08-02,3989.07666015625
2019-08-05,3865.937255859375
2019-08-06,3868.0078125
2019-08-07,3914.572509765625
2019-08-08,3990.111572265625
2019-08-09,3978.728759765625
2019-08-12,3981.8330078125
2019-08-13,3995.284912109375
2019-08-14,3968.381103515625
2019-08-15,3911.467529296875
2019-08-16,3962.172119140625
2019-08-19,4010.80712890625
2019-08-20,3960.10302734375
2019-08-21,4008.7373046875
2019-08-22,4004.8056640625
2019-08-23,4107.2548828125
2019-08-27,4105.1845703125
2019-08-28,3906.49658203125
2019-08-29,4003.771484375
2019-08-30,4053.442626953125
2019-09-02,4038.955078125
2019-09-03,4017.223388671875
2019-09-04,3967.5517578125
2019-09-05,4007.91064453125
2019-09-06,4118.63720703125
2019-09-09,4082.4189453125
2019-09-10,4104.1494140625
2019-09-11,4163.13525390625
2019-09-12,4220.05126953125
2019-09-13,4354.57958984375
2019-09-16,4296.62890625
2019-09-17,4256.27001953125
2019-09-18,4241.78173828125
2019-09-19,4275.9326171875
2019-09-20,4322.49951171875
2019-09-23,4298.69921875
2019-09-24,4295.5947265625
2019-09-25,4283.17578125
2019-09-26,4305.94189453125
2019-09-27,4332.84814453125
2019-09-30,4324.5693359375
2019-10-01,4311.11572265625
2019-10-02,4153.822265625
2019-10-03,4148.64794921875
2019-10-04,4184.86669921875
2019-10-07,4146.5771484375
2019-10-08,4101.044921875
2019-10-09,4065.861083984375
2019-10-10,4153.822265625
2019-10-11,4506.701171875
2019-10-14,4518.0830078125
2019-10-15,4624.6708984375
2019-10-16,4609.1484375
2019-10-17,4616.392578125
2019-10-18,4685.72607421875
2019-10-21,4674.34326171875
2019-10-22,4699.17919921875
2019-10-23,4591.55615234375
2019-10-24,4584.31298828125
2019-10-25,4559.47705078125
2019-10-28,4631.9150390625
2019-10-29,4611.21826171875
2019-10-30,4620.53173828125
2019-10-31,4554.30224609375
2019-11-01,4628.81005859375
2019-11-04,4594.66064453125
2019-11-05,4608.11328125
2019-11-06,4581.2080078125
2019-11-07,4653.64599609375
2019-11-08,4605.00927734375
2019-11-11,4748.85107421875
2019-11-12,4737.46826171875
2019-11-13,4732.29345703125
2019-11-14,4736.4326171875
2019-11-15,4702.2841796875
2019-11-18,4741.60693359375
2019-11-19,4686.76123046875
2019-11-20,4686.76123046875
2019-11-21,4620.53173828125
2019-11-22,4615.357421875
2019-11-25,4701.24853515625
2019-11-26,4744.7119140625
2019-11-27,4841.98583984375
2019-11-28,4876.13525390625
2019-11-29,4745.74658203125
2019-12-02,4724.015625
2019-12-03,4721.9453125
2019-12-04,4772.65283203125
2019-12-05,4707.45751953125
2019-12-06,4714.701171875
2019-12-09,4758.1650390625
2019-12-10,4716.77099609375
2019-12-11,4721.9453125
2019-12-12,4668.13427734375
2019-12-13,5321.1142578125
2019-12-16,5395.6220703125
2019-12-17,5259.02392578125
2019-12-18,5137.9482421875
2019-12-19,5132.775390625
2019-12-20,5093.4501953125
2019-12-23,5106.9033203125
2019-12-24,5119.322265625
2019-12-27,5112.07861328125
2019-12-30,5059.30126953125
2019-12-31,5028.255859375
2020-01-02,5120.35595703125
2020-01-03,5051.02294921875
2020-01-06,5028.255859375
2020-01-07,5012.7333984375
2020-01-08,5018.9423828125
2020-01-09,4994.10693359375
2020-01-10,4974.4453125
2020-01-13,5016.873046875
2020-01-14,5049.98828125
2020-01-15,5013.76806640625
2020-01-16,5166.923828125
2020-01-17,5215.5615234375
2020-01-20,5321.1142578125
2020-01-21,5366.646484375
2020-01-22,5600.51953125
2020-01-23,5538.427734375
2020-01-24,5594.310546875
2020-01-27,5515.66259765625
2020-01-28,5532.220703125
2020-01-29,5424.59765625
2020-01-30,5408.0400390625
2020-01-31,5422.52783203125
2020-02-03,5480.478515625
2020-02-04,5511.52294921875
2020-02-05,5463.9208984375
2020-02-06,5360.43798828125
2020-02-07,5300.4169921875
2020-02-10,5341.8115234375
2020-02-11,5370.7861328125
2020-02-12,5519.8017578125
2020-02-13,5534.2890625
2020-02-14,5509.453125
2020-02-17,5521.8720703125
2020-02-18,5548.77783203125
2020-02-19,5664.67919921875
2020-02-20,5538.427734375
2020-02-21,5660.53857421875
2020-02-24,5457.7119140625
2020-02-25,5323.18408203125
2020-02-26,5215.5615234375
2020-02-27,5018.9423828125
2020-02-28,4919.59912109375
2020-03-02,4903.041015625
2020-03-03,4982.72412109375
2020-03-04,5056.19677734375
