Date,HEIA.AS
2016-05-17,69.73062133789062
2016-05-18,69.93475341796875
2016-05-19,68.86302185058594
2016-05-20,69.7816390991211
2016-05-23,69.26280212402344
2016-05-24,70.66626739501953
2016-05-25,70.85337829589844
2016-05-26,71.37224578857422
2016-05-27,71.3297119140625
2016-05-30,71.3892593383789
2016-05-31,70.99800109863281
2016-06-01,71.11707305908203
2016-06-02,71.11707305908203
2016-06-03,71.10005187988281
2016-06-06,71.355224609375
2016-06-07,71.4657974243164
2016-06-08,70.87889862060547
2016-06-09,70.17291259765625
2016-06-10,68.803466796875
2016-06-13,67.51060485839844
2016-06-14,66.85565185546875
2016-06-15,66.7961196899414
2016-06-16,66.65151977539062
2016-06-17,66.63449096679688
2016-06-20,68.50578308105469
2016-06-21,68.72694396972656
