Date,INDUSINDBK.NS
2016-05-13,1007.294189453125
2016-05-16,1022.0464477539062
2016-05-17,1025.497802734375
2016-05-18,1024.126708984375
2016-05-19,1013.8192138671875
2016-05-20,1012.2589721679688
2016-05-23,998.8783569335938
2016-05-24,986.915771484375
2016-05-25,1036.561767578125
2016-05-26,1043.8905029296875
2016-05-27,1044.079833984375
2016-05-30,1040.486328125
2016-05-31,1042.897705078125
2016-06-01,1043.7489013671875
2016-06-02,1060.817626953125
2016-06-03,1062.8507080078125
2016-06-06,1060.770263671875
2016-06-07,1049.5643310546875
2016-06-08,1053.0633544921875
2016-06-09,1061.0067138671875
2016-06-10,1049.5643310546875
2016-06-13,1048.193115234375
2016-06-14,1056.0421142578125
2016-06-15,1062.4722900390625
2016-06-16,1040.43896484375
2016-06-17,1039.446044921875
