Date,DNLM.L
2016-05-24,956.1171875
2016-05-25,951.630615234375
2016-05-26,950.1353149414062
2016-05-27,944.6517333984375
2016-05-31,951.630615234375
2016-06-01,932.1893920898438
2016-06-02,948.141357421875
2016-06-03,937.1741943359375
2016-06-06,942.65771484375
2016-06-07,942.1591796875
2016-06-08,921.7208862304688
2016-06-09,914.2432861328125
2016-06-10,899.7869873046875
2016-06-13,890.8139038085938
2016-06-14,881.3426513671875
2016-06-15,904.7719116210938
2016-06-16,885.3305053710938
2016-06-17,917.234375
2016-06-20,963.5946044921875
2016-06-21,941.1622314453125
2016-06-22,963.0961303710938
2016-06-23,969.0780029296875
2016-06-24,857.4148559570312
2016-06-27,777.1567993164062
2016-06-28,767.685302734375
2016-06-29,782.6400146484375
2016-06-30,786.1297607421875
