Date,ESCORTS.NS
2016-05-30,166.89317321777344
2016-05-31,167.80564880371094
2016-06-01,167.94973754882812
2016-06-02,166.94117736816406
2016-06-03,164.10760498046875
2016-06-06,166.12472534179688
2016-06-07,165.068115234375
2016-06-08,165.11614990234375
2016-06-09,165.068115234375
2016-06-10,170.20700073242188
2016-06-13,174.5774383544922
2016-06-14,173.56886291503906
2016-06-15,174.76956176757812
2016-06-16,171.6477813720703
2016-06-17,169.43856811523438
2016-06-20,176.06625366210938
2016-06-21,174.96165466308594
2016-06-22,199.455322265625
2016-06-23,196.28555297851562
2016-06-24,201.2803497314453
2016-06-27,209.68504333496094
2016-06-28,210.50146484375
2016-06-29,213.52719116210938
2016-06-30,211.2218780517578
2016-07-01,214.3436279296875
2016-07-04,213.28704833984375
2016-07-05,214.0074462890625
