Date,GE
2018-08-06,60.30207443237305
2018-08-07,60.578277587890625
2018-08-08,60.07192611694336
2018-08-09,59.5655632019043
2018-08-10,58.78302001953125
2018-08-13,57.30999755859375
2018-08-14,56.84967803955078
2018-08-15,56.251251220703125
2018-08-16,56.619510650634766
2018-08-17,56.619510650634766
2018-08-20,56.619510650634766
2018-08-21,58.138572692871094
2018-08-22,57.402061462402344
2018-08-23,57.72427749633789
2018-08-24,57.54015350341797
2018-08-27,58.78302001953125
2018-08-28,58.73698806762695
2018-08-29,59.70365905761719
2018-08-30,58.78302001953125
2018-08-31,59.5655632019043
2018-09-04,58.32270050048828
2018-09-05,57.81633377075195
2018-09-06,57.58618927001953
2018-09-07,57.079830169677734
2018-09-10,57.58618927001953
2018-09-11,56.757598876953125
2018-09-12,58.0465202331543
2018-09-13,58.5068244934082
2018-09-14,58.92506790161133
2018-09-17,59.01801681518555
2018-09-18,58.832115173339844
2018-09-19,59.761539459228516
2018-09-20,57.902706146240234
2018-09-21,56.5550537109375
2018-09-24,54.55680847167969
2018-09-25,52.372676849365234
2018-09-26,52.93032455444336
2018-09-27,53.58091354370117
2018-09-28,52.465614318847656
2018-10-01,56.18328857421875
2018-10-02,57.252113342285156
2018-10-03,57.99565124511719
2018-10-04,58.832115173339844
2018-10-05,61.24860763549805
2018-10-08,63.24685287475586
2018-10-09,62.96803665161133
2018-10-10,61.71331024169922
2018-10-11,59.1109504699707
2018-10-12,57.252113342285156
2018-10-15,56.462120056152344
2018-10-16,56.22975540161133
2018-10-17,56.647979736328125
2018-10-18,57.53095245361328
2018-10-19,58.367408752441406
2018-10-22,57.53095245361328
2018-10-23,58.97153854370117
2018-10-24,56.5550537109375
2018-10-25,54.83563995361328
2018-10-26,52.5120849609375
2018-10-29,51.86149597167969
2018-10-30,47.30735778808594
2018-10-31,46.93558120727539
2018-11-01,44.51908874511719
2018-11-02,43.17144012451172
2018-11-05,43.12497329711914
2018-11-06,43.77555847167969
2018-11-07,42.753204345703125
2018-11-08,42.288490295410156
2018-11-09,39.872013092041016
2018-11-12,37.13022994995117
2018-11-13,40.01142120361328
2018-11-14,38.66376876831055
2018-11-15,37.966705322265625
2018-11-16,37.2696418762207
2018-11-19,36.43315124511719
2018-11-20,35.55022430419922
2018-11-21,36.29375076293945
2018-11-23,35.17845153808594
2018-11-26,35.22492980957031
2018-11-27,34.57432556152344
2018-11-28,35.96846389770508
2018-11-29,36.89787673950195
2018-11-30,34.8531608581543
2018-12-03,36.29375076293945
2018-12-04,33.8307991027832
2018-12-06,34.15608215332031
2018-12-07,32.57608413696289
2018-12-10,32.204315185546875
2018-12-11,31.414304733276367
2018-12-12,31.181955337524414
2018-12-13,33.459022521972656
2018-12-14,32.99430847167969
2018-12-17,33.22666549682617
2018-12-18,33.8307991027832
2018-12-19,35.645652770996094
2018-12-20,34.621883392333984
2018-12-21,33.272369384765625
2018-12-24,32.20207977294922
2018-12-26,34.38920974731445
2018-12-27,33.83079147338867
2018-12-28,34.947628021240234
2018-12-31,35.22684097290039
2019-01-02,37.46050262451172
2019-01-03,37.507041931152344
2019-01-04,38.29813766479492
2019-01-07,40.67140579223633
2019-01-08,39.83378982543945
2019-01-09,39.5545654296875
2019-01-10,41.602108001708984
2019-01-11,41.602108001708984
2019-01-14,41.415958404541016
2019-01-15,40.62487030029297
2019-01-16,41.78824234008789
2019-01-17,42.532806396484375
2019-01-18,42.16051483154297
2019-01-22,40.29911804199219
2019-01-23,40.62487030029297
2019-01-24,40.8575439453125
2019-01-25,42.62587356567383
2019-01-28,41.55557632446289
2019-01-29,41.415958404541016
2019-01-30,42.346656799316406
2019-01-31,47.279354095458984
2019-02-01,47.41895294189453
2019-02-04,47.51202392578125
2019-02-05,49.46648025512695
2019-02-06,48.721923828125
2019-02-07,46.813995361328125
2019-02-08,45.6506233215332
2019-02-11,46.674400329589844
2019-02-12,46.44172286987305
2019-02-13,48.25657653808594
2019-02-14,46.720924377441406
2019-02-15,46.95361328125
2019-02-19,47.13974380493164
2019-02-20,47.00013732910156
2019-02-21,46.674400329589844
2019-02-22,47.32587814331055
2019-02-25,50.350643157958984
2019-02-26,51.590335845947266
2019-02-27,52.65504455566406
2019-02-28,50.28363800048828
2019-03-01,49.702877044677734
2019-03-04,50.23523712158203
2019-03-05,47.86383056640625
2019-03-06,44.08893585205078
2019-03-07,45.73439407348633
2019-03-08,46.41265869140625
2019-03-11,47.96297836303711
2019-03-12,47.284725189208984
2019-03-13,48.544349670410156
2019-03-14,49.900875091552734
2019-03-15,48.253658294677734
2019-03-18,49.41640090942383
2019-03-19,49.367950439453125
2019-03-20,49.51329803466797
2019-03-21,49.755531311035156
2019-03-22,48.35055160522461
2019-03-25,47.86607360839844
2019-03-26,48.93193054199219
2019-03-27,48.253658294677734
2019-03-28,47.91453552246094
2019-03-29,48.39900207519531
2019-04-01,48.93193054199219
2019-04-02,49.610191345214844
2019-04-03,48.93193054199219
2019-04-04,48.592796325683594
2019-04-05,48.49590301513672
2019-04-08,45.97662353515625
2019-04-09,44.66854476928711
2019-04-10,44.37786865234375
2019-04-11,44.18407440185547
2019-04-12,43.60270309448242
2019-04-15,43.50581359863281
2019-04-16,44.280967712402344
2019-04-17,44.18407440185547
2019-04-18,45.298370361328125
2019-04-22,45.15302276611328
2019-04-23,45.201473236083984
2019-04-24,45.15302276611328
2019-04-25,44.18407440185547
2019-04-26,46.36421585083008
2019-04-29,47.139373779296875
2019-04-30,49.271053314208984
2019-05-01,48.93193054199219
2019-05-02,49.65864562988281
2019-05-03,50.86981964111328
2019-05-06,50.530696868896484
2019-05-07,48.98036575317383
2019-05-08,49.22260665893555
2019-05-09,48.641231536865234
2019-05-10,49.077274322509766
2019-05-13,47.817630767822266
2019-05-14,49.99776840209961
2019-05-15,49.70709228515625
2019-05-16,49.077274322509766
2019-05-17,48.44744873046875
2019-05-20,47.86607360839844
2019-05-21,48.253658294677734
2019-05-22,47.96297836303711
2019-05-23,46.31576919555664
2019-05-24,45.782840728759766
2019-05-28,45.3468132019043
2019-05-29,45.395259857177734
2019-05-30,45.879737854003906
2019-05-31,45.73439407348633
2019-06-03,46.170413970947266
2019-06-04,48.44744873046875
2019-06-05,47.91453552246094
2019-06-06,48.059879302978516
2019-06-07,48.35055160522461
2019-06-10,48.68968963623047
2019-06-11,49.02881622314453
2019-06-12,49.803977966308594
2019-06-13,49.94932556152344
2019-06-14,49.56174850463867
2019-06-17,48.68968963623047
2019-06-18,50.48225021362305
2019-06-19,50.09465789794922
2019-06-20,51.499629974365234
2019-06-21,50.77293395996094
2019-06-24,49.803977966308594
2019-06-25,49.51329803466797
2019-06-26,49.755531311035156
2019-06-27,50.38534927368164
2019-06-28,50.91878128051758
2019-07-01,51.54920196533203
2019-07-02,51.50070571899414
2019-07-03,51.45222473144531
2019-07-05,50.91878128051758
2019-07-08,49.463966369628906
2019-07-09,49.70643615722656
2019-07-10,49.463966369628906
2019-07-11,49.02751541137695
2019-07-12,50.28836441040039
2019-07-15,49.80341720581055
2019-07-16,50.33685302734375
2019-07-17,48.3970947265625
2019-07-18,48.7850456237793
2019-07-19,48.688053131103516
2019-07-22,49.51246643066406
2019-07-23,51.64619445800781
2019-07-24,51.79168701171875
2019-07-25,50.57933044433594
2019-07-26,50.9672737121582
2019-07-29,50.33685302734375
2019-07-30,51.01577377319336
2019-07-31,50.67631530761719
2019-08-01,48.88203048706055
2019-08-02,48.49407958984375
2019-08-05,46.84528350830078
2019-08-06,46.408836364746094
2019-08-07,45.87539291381836
2019-08-08,46.02088165283203
2019-08-09,44.3720817565918
2019-08-12,43.88714599609375
2019-08-13,45.34196090698242
2019-08-14,43.79015350341797
2019-08-15,38.84376525878906
2019-08-16,42.62629699707031
2019-08-19,42.044376373291016
2019-08-20,40.638038635253906
2019-08-21,39.5711669921875
2019-08-22,39.71665954589844
2019-08-23,38.649776458740234
2019-08-26,39.037742614746094
2019-08-27,38.455810546875
2019-08-28,38.50429153442383
2019-08-29,39.32870101928711
2019-08-30,40.00762176513672
2019-09-03,40.39558029174805
2019-09-04,42.67479705810547
2019-09-05,42.72328186035156
2019-09-06,42.238346099853516
2019-09-09,43.45069885253906
2019-09-10,44.323585510253906
2019-09-11,45.39045715332031
2019-09-12,44.90550994873047
2019-09-13,45.342445373535156
2019-09-16,45.53662109375
2019-09-17,45.43953323364258
2019-09-18,45.53662109375
2019-09-19,45.73081588745117
2019-09-20,45.48806381225586
2019-09-23,45.342445373535156
2019-09-24,43.54621505737305
2019-09-25,44.46860122680664
2019-09-26,43.78895568847656
2019-09-27,43.88603973388672
2019-09-30,43.400577545166016
2019-10-01,41.79853820800781
2019-10-02,41.31308364868164
2019-10-03,42.28400802612305
2019-10-04,41.60435104370117
2019-10-07,41.555809020996094
2019-10-08,40.19652557373047
2019-10-09,40.53633117675781
2019-10-10,41.021793365478516
2019-10-11,42.72092819213867
2019-10-14,42.332550048828125
2019-10-15,43.157840728759766
2019-10-16,43.206390380859375
2019-10-17,43.88603973388672
2019-10-18,43.497676849365234
2019-10-21,42.6723747253418
2019-10-22,43.983123779296875
2019-10-23,44.37150955200195
2019-10-24,43.449119567871094
2019-10-25,43.69186019897461
2019-10-28,44.03168487548828
2019-10-29,44.03168487548828
2019-10-30,49.08050537109375
2019-10-31,48.44941711425781
