Date,IOC.NS
2016-05-30,36.73677062988281
2016-05-31,37.93095016479492
2016-06-01,38.341156005859375
2016-06-02,38.29558181762695
2016-06-03,38.65109634399414
2016-06-06,38.131492614746094
2016-06-07,38.1816291809082
2016-06-08,37.83979034423828
2016-06-09,37.867130279541016
2016-06-10,37.37944030761719
2016-06-13,37.93095016479492
2016-06-14,37.74407196044922
2016-06-15,38.04945373535156
2016-06-16,37.8853645324707
2016-06-17,37.66202926635742
2016-06-20,37.42045211791992
2016-06-21,37.62100601196289
2016-06-22,37.867130279541016
2016-06-23,38.4505500793457
2016-06-24,38.19985580444336
2016-06-27,38.382179260253906
2016-06-28,39.6492805480957
2016-06-29,40.232696533203125
2016-06-30,40.20078659057617
2016-07-01,43.23635482788086
2016-07-04,43.828880310058594
2016-07-05,43.509830474853516
