Date,ITV.L
2016-06-09,207.7451171875
2016-06-10,204.55819702148438
2016-06-13,201.07257080078125
2016-06-14,195.89385986328125
2016-06-15,197.1885223388672
2016-06-16,197.68649291992188
2016-06-17,203.1639404296875
2016-06-20,211.8282928466797
2016-06-21,210.03567504882812
2016-06-22,213.6209259033203
2016-06-23,218.30165100097656
2016-06-24,173.68524169921875
2016-06-27,153.36886596679688
2016-06-28,165.3197021484375
2016-06-29,176.97174072265625
2016-06-30,178.96353149414062
2016-07-01,180.1586151123047
2016-07-04,174.3824005126953
2016-07-05,168.20779418945312
2016-07-06,169.50245666503906
2016-07-07,174.28280639648438
2016-07-08,180.05902099609375
2016-07-11,184.93894958496094
2016-07-12,189.91847229003906
2016-07-13,184.14224243164062
2016-07-14,185.9348602294922
2016-07-15,187.72744750976562
2016-07-18,189.81884765625
2016-07-19,185.13815307617188
2016-07-20,186.93077087402344
2016-07-21,189.12171936035156
2016-07-22,187.32911682128906
2016-07-25,188.32504272460938
2016-07-26,184.0426483154297
2016-07-27,196.4914093017578
2016-07-28,194.39999389648438
2016-07-29,195.19674682617188
2016-08-01,192.80657958984375
2016-08-02,194.10122680664062
2016-08-03,194.20083618164062
2016-08-04,196.5910186767578
2016-08-05,198.18443298339844
2016-08-08,198.68238830566406
2016-08-09,197.8856658935547
2016-08-10,199.6782989501953
2016-08-11,196.4914093017578
2016-08-12,199.18032836914062
2016-08-15,198.3836212158203
2016-08-16,195.09715270996094
2016-08-17,194.5991973876953
2016-08-18,196.09304809570312
2016-08-19,194.7984161376953
2016-08-22,194.20083618164062
2016-08-23,195.6947021484375
2016-08-24,200.9729766845703
2016-08-25,201.96885681152344
2016-08-26,200.9729766845703
2016-08-30,199.6782989501953
2016-08-31,199.87747192382812
2016-09-01,204.6578369140625
2016-09-02,208.24307250976562
2016-09-05,206.64964294433594
2016-09-06,205.75332641601562
2016-09-07,204.3590545654297
2016-09-08,204.6578369140625
2016-09-09,202.06849670410156
2016-09-12,195.5950927734375
2016-09-13,196.09304809570312
2016-09-14,196.39183044433594
2016-09-15,197.48727416992188
2016-09-16,192.3086395263672
2016-09-19,193.30455017089844
2016-09-20,196.192626953125
2016-09-21,194.00169372558594
2016-09-22,193.4041290283203
2016-09-23,185.9348602294922
2016-09-26,182.6483612060547
2016-09-27,182.94712829589844
2016-09-28,185.83526611328125
2016-09-29,183.8434600830078
2016-09-30,186.4328155517578
2016-10-03,183.04672241210938
2016-10-04,184.93894958496094
2016-10-05,182.94712829589844
2016-10-06,183.24594116210938
2016-10-07,174.3824005126953
2016-10-10,172.78892517089844
2016-10-11,176.8721466064453
2016-10-12,175.17910766601562
2016-10-13,171.9922332763672
2016-10-14,171.79310607910156
2016-10-17,172.98814392089844
2016-10-18,178.1667938232422
2016-10-19,179.06314086914062
2016-10-20,172.4901885986328
2016-10-21,170.29917907714844
2016-10-24,171.19549560546875
2016-10-25,169.60206604003906
2016-10-26,166.7139434814453
2016-10-27,171.41925048828125
2016-10-28,171.31968688964844
2016-10-31,169.82559204101562
2016-11-01,170.02479553222656
2016-11-02,168.13233947753906
2016-11-03,170.42323303222656
2016-11-04,167.33547973632812
2016-11-07,166.14024353027344
2016-11-08,165.1442108154297
2016-11-09,165.34339904785156
2016-11-10,167.4351043701172
2016-11-11,168.53073120117188
2016-11-14,167.0366668701172
2016-11-15,164.3473358154297
2016-11-16,166.33941650390625
2016-11-17,169.82559204101562
2016-11-18,169.32754516601562
2016-11-21,164.94497680664062
2016-11-22,164.94497680664062
2016-11-23,165.34339904785156
2016-11-24,166.14024353027344
2016-11-25,167.33547973632812
2016-11-28,166.04061889648438
2016-11-29,170.52281188964844
2016-11-30,167.33547973632812
2016-12-01,169.32754516601562
2016-12-02,166.23983764648438
2016-12-05,168.43113708496094
2016-12-06,174.3078155517578
2016-12-07,176.7978973388672
2016-12-08,180.78208923339844
2016-12-09,190.74252319335938
2016-12-12,184.4674530029297
2016-12-13,191.34017944335938
2016-12-14,194.3282928466797
2016-12-15,195.72276306152344
2016-12-16,195.1251220703125
2016-12-19,199.2089080810547
2016-12-20,198.11325073242188
2016-12-21,199.2089080810547
2016-12-22,202.99386596679688
2016-12-23,202.69503784179688
2016-12-28,201.997802734375
2016-12-29,203.19308471679688
2016-12-30,205.58360290527344
2017-01-03,207.17727661132812
2017-01-04,200.60336303710938
2017-01-05,203.79071044921875
2017-01-06,204.6871795654297
2017-01-09,206.67921447753906
2017-01-10,206.3804168701172
2017-01-11,205.6831817626953
2017-01-12,202.197021484375
2017-01-13,207.77491760253906
2017-01-16,203.39224243164062
2017-01-17,202.49586486816406
2017-01-18,201.7986297607422
2017-01-19,202.69503784179688
2017-01-20,200.7029571533203
2017-01-23,200.50375366210938
2017-01-24,208.4721221923828
2017-01-25,203.79071044921875
2017-01-26,204.1891326904297
2017-01-27,203.89031982421875
2017-01-30,205.1851806640625
2017-01-31,202.39625549316406
2017-02-01,201.49978637695312
2017-02-02,200.7029571533203
2017-02-03,204.6871795654297
2017-02-06,201.997802734375
2017-02-07,202.69503784179688
2017-02-08,205.28475952148438
2017-02-09,208.7709197998047
2017-02-10,208.1732940673828
2017-02-13,207.97410583496094
2017-02-14,208.57171630859375
2017-02-15,208.4721221923828
2017-02-16,207.2769012451172
2017-02-17,204.6871795654297
2017-02-20,202.29664611816406
2017-02-21,202.49586486816406
2017-02-22,201.3006134033203
2017-02-23,202.39625549316406
2017-02-24,201.3006134033203
2017-02-27,200.80259704589844
