Date,SRF.NS
2016-05-30,249.46604919433594
2016-05-31,248.40321350097656
2016-06-01,246.63174438476562
2016-06-02,246.2582550048828
2016-06-03,240.31202697753906
2016-06-06,242.03558349609375
2016-06-07,242.20791625976562
2016-06-08,240.7237548828125
2016-06-09,242.98353576660156
2016-06-10,239.43109130859375
2016-06-13,248.8436279296875
2016-06-14,241.73873901367188
2016-06-15,245.96144104003906
2016-06-16,241.93984985351562
2016-06-17,240.54185485839844
2016-06-20,242.96441650390625
2016-06-21,241.66217041015625
2016-06-22,240.091796875
2016-06-23,239.57469177246094
2016-06-24,239.9481658935547
2016-06-27,242.56227111816406
2016-06-28,245.2528839111328
2016-06-29,247.91482543945312
2016-06-30,251.4193572998047
2016-07-01,251.70669555664062
2016-07-04,252.7502899169922
2016-07-05,250.9597930908203
