Date,UPL.NS
2016-05-31,359.8058166503906
2016-06-01,357.2983703613281
2016-06-02,365.5155944824219
2016-06-03,366.1802062988281
2016-06-06,369.5335388183594
2016-06-07,362.5851745605469
2016-06-08,361.9809875488281
2016-06-09,356.7243347167969
2016-06-10,350.4405822753906
2016-06-13,354.609619140625
2016-06-14,351.8907165527344
2016-06-15,353.40118408203125
2016-06-16,346.3016662597656
2016-06-17,345.5096740722656
2016-06-20,346.667236328125
2016-06-21,342.0981750488281
2016-06-22,338.7170715332031
2016-06-23,330.2187194824219
2016-06-24,329.0916442871094
2016-06-27,332.0158386230469
2016-06-28,332.7164611816406
2016-06-29,334.8486633300781
2016-06-30,335.122802734375
2016-07-01,341.45849609375
2016-07-04,338.6561584472656
2016-07-05,332.807861328125
2016-07-07,337.6509704589844
