Date,DIXON.NS
2018-06-20,583.7376708984375
2018-06-21,580.2836303710938
2018-06-22,582.71240234375
2018-06-25,580.9107055664062
2018-06-26,582.2145385742188
2018-06-27,576.0828247070312
2018-06-28,572.9771118164062
2018-06-29,583.3296508789062
2018-07-02,572.1310424804688
2018-07-03,581.587646484375
2018-07-04,575.7145385742188
2018-07-05,574.4105224609375
2018-07-06,574.87841796875
2018-07-09,581.2391357421875
2018-07-10,602.9194946289062
2018-07-11,588.17724609375
2018-07-12,590.95458984375
2018-07-13,580.7215576171875
2018-07-16,570.4288940429688
2018-07-17,580.1510009765625
2018-07-18,572.8095092773438
2018-07-19,563.2368774414062
2018-07-20,558.8040771484375
2018-07-23,569.7017211914062
2018-07-24,565.4083862304688
2018-07-25,566.095703125
2018-07-26,563.7648315429688
2018-07-27,564.2528686523438
