Date,TITAN.NS
2016-05-31,348.8078308105469
2016-06-01,347.5984191894531
2016-06-02,346.4372863769531
2016-06-03,343.8249206542969
2016-06-06,341.5511169433594
2016-06-07,348.9046325683594
2016-06-08,350.3075866699219
2016-06-09,352.8232421875
2016-06-10,350.25921630859375
2016-06-13,352.3878479003906
2016-06-14,355.1453857421875
2016-06-15,354.951904296875
2016-06-16,359.4511413574219
2016-06-17,364.143798828125
2016-06-20,364.38568115234375
2016-06-21,363.2729797363281
2016-06-22,366.9980773925781
2016-06-23,375.5610656738281
2016-06-24,377.7864990234375
2016-06-27,378.8023986816406
2016-06-28,377.2543029785156
2016-06-29,383.6402282714844
2016-06-30,393.0740051269531
2016-07-01,392.6869812011719
2016-07-04,392.1064758300781
2016-07-05,388.8651123046875
2016-07-07,389.7843017578125
