Date,M&M.NS
2019-03-13,640.9964599609375
2019-03-14,642.589111328125
2019-03-15,650.7396850585938
2019-03-18,640.9964599609375
2019-03-19,645.8680419921875
2019-03-20,635.7500610351562
2019-03-22,635.9373779296875
2019-03-25,622.6340942382812
2019-03-26,627.3182983398438
2019-03-27,618.371337890625
2019-03-28,614.5302734375
2019-04-01,619.167724609375
2019-04-02,626.3814697265625
2019-04-03,616.8723754882812
2019-04-04,612.0943603515625
2019-04-05,616.63818359375
2019-04-08,624.882568359375
2019-04-09,625.6788330078125
2019-04-10,627.9273681640625
2019-04-11,630.2694702148438
2019-04-12,635.3753662109375
2019-04-15,640.0595703125
2019-04-16,644.6500854492188
2019-04-18,641.4180297851562
2019-04-22,630.8783569335938
2019-04-23,623.71142578125
2019-04-24,625.9598999023438
2019-04-25,623.1493530273438
2019-04-26,617.809326171875
2019-04-30,604.552734375
2019-05-02,605.1149291992188
2019-05-03,605.0211791992188
2019-05-06,598.1820678710938
2019-05-07,595.8399658203125
2019-05-08,582.3961181640625
2019-05-09,585.9561767578125
2019-05-10,589.0478515625
2019-05-13,578.6018676757812
2019-05-14,575.46337890625
2019-05-15,571.1538696289062
2019-05-16,567.03173828125
2019-05-17,580.5223999023438
2019-05-20,612.000732421875
2019-05-21,598.7911376953125
2019-05-22,600.1026000976562
2019-05-23,599.1189575195312
2019-05-24,623.430419921875
2019-05-27,636.45263671875
2019-05-28,628.2083740234375
2019-05-29,629.7073974609375
2019-05-30,619.9171142578125
2019-05-31,606.1921997070312
2019-06-03,612.141357421875
2019-06-04,609.65869140625
2019-06-06,594.0599975585938
2019-06-07,603.3817138671875
2019-06-10,606.0985107421875
2019-06-11,596.6363525390625
2019-06-12,592.2799682617188
2019-06-13,600.5711059570312
2019-06-14,597.0110473632812
2019-06-17,585.5814819335938
2019-06-18,586.3777465820312
2019-06-19,576.306640625
2019-06-20,587.5488891601562
2019-06-21,587.8298950195312
2019-06-24,594.7625122070312
2019-06-25,601.13330078125
2019-06-26,602.866455078125
2019-06-27,616.357177734375
2019-06-28,613.9680786132812
2019-07-01,618.324462890625
2019-07-02,624.1798095703125
2019-07-03,626.9903564453125
2019-07-04,629.7073974609375
2019-07-05,601.5079345703125
2019-07-08,595.6995239257812
2019-07-09,592.7483520507812
2019-07-10,582.3961181640625
2019-07-11,594.1068725585938
2019-07-12,591.9989013671875
2019-07-15,591.9519653320312
2019-07-16,583.5672607421875
2019-07-17,578.9297485351562
2019-07-18,567.4832153320312
2019-07-19,542.6902465820312
2019-07-22,536.6107788085938
2019-07-23,531.1011962890625
2019-07-24,522.4569091796875
2019-07-25,520.1295776367188
2019-07-26,536.1832885742188
2019-07-29,525.4490966796875
2019-07-30,521.26953125
2019-07-31,522.4569091796875
2019-08-01,521.0795288085938
2019-08-02,528.5838623046875
2019-08-05,518.1348266601562
2019-08-06,521.9344482421875
2019-08-07,492.3443908691406
2019-08-08,512.5301513671875
