Date,FACC.VI
2016-05-24,4.553101062774658
2016-05-25,4.602058410644531
2016-05-27,4.641225337982178
2016-05-30,4.611850738525391
2016-05-31,4.84293270111084
2016-06-01,4.653954029083252
2016-06-02,4.563871383666992
2016-06-03,4.562892436981201
2016-06-06,4.562892436981201
2016-06-07,4.554080009460449
2016-06-08,4.572683811187744
2016-06-09,4.553101062774658
2016-06-10,4.475747108459473
2016-06-13,4.386643409729004
2016-06-14,4.36706018447876
2016-06-15,4.286768436431885
2016-06-16,4.014561653137207
2016-06-17,4.112478256225586
2016-06-20,4.17808198928833
2016-06-21,4.1908111572265625
2016-06-22,4.073311805725098
2016-06-23,4.064499378204346
2016-06-24,3.9910621643066406
2016-06-27,3.9166457653045654
2016-06-28,4.096811294555664
2016-06-29,4.194727420806885
