Date,MGL.NS
2016-12-05,611.5009155273438
2016-12-06,617.7509155273438
2016-12-07,613.4335327148438
2016-12-08,616.80517578125
2016-12-09,620.2590942382812
2016-12-12,614.2559814453125
2016-12-13,625.3167114257812
2016-12-14,617.7919921875
2016-12-15,627.6602172851562
2016-12-16,644.8885498046875
2016-12-19,643.6138916015625
2016-12-20,645.3408203125
2016-12-21,639.0497436523438
2016-12-22,632.8410034179688
2016-12-23,628.153564453125
2016-12-26,638.7619018554688
2016-12-27,636.007080078125
2016-12-28,638.1041870117188
2016-12-29,644.0661010742188
2016-12-30,647.8900146484375
2017-01-02,661.1300659179688
2017-01-03,676.5490112304688
2017-01-04,690.9813842773438
2017-01-05,700.3150024414062
2017-01-06,691.4746704101562
2017-01-09,697.5191650390625
2017-01-10,693.1194458007812
2017-01-11,694.1062622070312
2017-01-12,691.4335327148438
2017-01-13,692.8316650390625
2017-01-16,690.0768432617188
2017-01-17,688.3909912109375
2017-01-18,700.9730224609375
2017-01-19,711.5401611328125
2017-01-20,699.8626708984375
2017-01-23,710.5944213867188
2017-01-24,720.0925903320312
2017-01-25,719.270263671875
2017-01-27,718.0366821289062
2017-01-30,717.3787841796875
2017-01-31,702.5765991210938
2017-02-01,727.329345703125
2017-02-02,717.3787841796875
2017-02-03,718.242431640625
2017-02-06,745.2977294921875
2017-02-07,765.3629760742188
2017-02-08,757.509765625
2017-02-09,757.7152709960938
2017-02-10,756.2761840820312
2017-02-13,757.8796997070312
2017-02-14,753.47998046875
2017-02-15,751.87646484375
2017-02-16,740.8569946289062
2017-02-17,714.7623901367188
2017-02-20,723.4743041992188
2017-02-21,731.4396362304688
2017-02-22,725.4658203125
2017-02-23,716.5047607421875
2017-02-27,727.5399780273438
2017-02-28,725.0509033203125
2017-03-01,724.8018798828125
2017-03-02,730.0706787109375
2017-03-03,716.9610595703125
2017-03-06,704.9716796875
2017-03-07,712.356201171875
2017-03-08,710.6136474609375
2017-03-09,708.0
2017-03-10,705.6353759765625
2017-03-14,709.6180419921875
2017-03-15,704.9716796875
2017-03-16,702.60693359375
2017-03-17,713.3931884765625
2017-03-20,732.8502197265625
2017-03-21,748.0340576171875
2017-03-22,741.3133544921875
2017-03-23,739.6539306640625
2017-03-24,739.7783203125
2017-03-27,743.59521484375
2017-03-28,745.9598388671875
2017-03-29,745.8353271484375
2017-03-30,742.7238159179688
2017-03-31,742.9312744140625
2017-04-03,741.686767578125
2017-04-05,733.5554809570312
2017-04-06,743.180419921875
2017-04-07,734.3021240234375
