Date,TATAMOTORS.NS
2016-05-31,452.73468017578125
2016-06-01,442.44195556640625
2016-06-02,446.62799072265625
2016-06-03,447.1204833984375
2016-06-06,453.5719299316406
2016-06-07,456.0835266113281
2016-06-08,459.13690185546875
2016-06-09,460.1218566894531
2016-06-10,450.0753479003906
2016-06-13,437.56640625
2016-06-14,441.6539306640625
2016-06-15,445.2982482910156
2016-06-16,447.514404296875
2016-06-17,457.4132385253906
2016-06-20,474.7976989746094
2016-06-21,477.6048278808594
2016-06-22,465.58837890625
2016-06-23,480.60894775390625
2016-06-24,442.638916015625
2016-06-27,442.1957092285156
2016-06-28,433.7743225097656
2016-06-29,440.521240234375
2016-06-30,452.3407287597656
2016-07-01,451.01104736328125
2016-07-04,462.4365234375
2016-07-05,453.9659118652344
2016-07-07,448.3023986816406
