Date,LRCX
2016-04-26,7.021940231323242
2016-04-27,7.084940433502197
2016-04-28,6.839062690734863
2016-04-29,6.685061454772949
2016-05-02,6.701685905456543
2016-05-03,6.626436233520508
2016-05-04,6.553809642791748
2016-05-05,6.566935062408447
2016-05-06,6.557310581207275
2016-05-09,6.531060695648193
2016-05-10,6.645686626434326
2016-05-11,6.615936756134033
2016-05-12,6.553809642791748
2016-05-13,6.504809856414795
2016-05-16,6.4278082847595215
2016-05-17,6.39980936050415
2016-05-18,6.472434043884277
2016-05-19,6.415558338165283
2016-05-20,6.709561824798584
2016-05-23,6.721812725067139
2016-05-24,6.936189651489258
2016-05-25,7.054317474365234
2016-05-26,7.089315414428711
2016-05-27,7.2599406242370605
2016-05-31,7.245943546295166
2016-06-01,7.273942470550537
2016-06-02,7.317692756652832
