Date,BRKM5.SA
2016-05-27,15.990233421325684
2016-05-30,16.01313018798828
2016-05-31,16.028398513793945
2016-06-01,16.242109298706055
2016-06-02,16.394760131835938
2016-06-03,16.326065063476562
2016-06-06,16.142887115478516
2016-06-07,15.684929847717285
2016-06-08,15.387259483337402
2016-06-09,15.257506370544434
2016-06-10,14.868247032165527
2016-06-13,14.990365982055664
2016-06-14,14.662165641784668
2016-06-15,14.5324125289917
2016-06-16,14.807184219360352
2016-06-17,14.723228454589844
2016-06-20,15.10485553741455
2016-06-21,14.998000144958496
2016-06-22,14.906410217285156
2016-06-23,15.34146499633789
2016-06-24,14.700328826904297
2016-06-27,14.417923927307129
2016-06-28,14.830083847045898
2016-06-29,14.540044784545898
2016-06-30,14.5324125289917
2016-07-01,14.692696571350098
2016-07-04,15.081958770751953
