Date,CS.PA
2021-12-03,19.72994613647461
2021-12-06,20.092905044555664
2021-12-07,20.215206146240234
2021-12-08,20.156028747558594
2021-12-09,20.14419174194336
2021-12-10,20.017946243286133
2021-12-13,19.978492736816406
2021-12-14,20.069232940673828
2021-12-15,20.069232940673828
2021-12-16,20.321725845336914
2021-12-17,20.025836944580078
2021-12-20,19.631319046020508
2021-12-21,20.04950714111328
2021-12-22,20.148136138916016
2021-12-23,20.42430305480957
2021-12-24,20.432193756103516
2021-12-27,20.60972785949707
2021-12-28,20.7596435546875
2021-12-29,20.71624755859375
2021-12-30,20.739919662475586
2021-12-31,20.661014556884766
2022-01-03,20.909561157226562
2022-01-04,21.308025360107422
2022-01-05,21.34353256225586
2022-01-06,21.552629470825195
2022-01-07,21.674928665161133
2022-01-10,21.62364387512207
2022-01-11,21.9708194732666
2022-01-12,22.030000686645508
2022-01-13,22.26276397705078
2022-01-14,22.321945190429688
2022-01-17,22.519203186035156
2022-01-18,22.566547393798828
2022-01-19,22.097064971923828
2022-01-20,21.958986282348633
2022-01-21,21.71043586730957
2022-01-24,21.118656158447266
2022-01-25,21.418493270874023
2022-01-26,21.958986282348633
2022-01-27,22.20358657836914
2022-01-28,22.037891387939453
2022-01-31,22.057615280151367
2022-02-01,22.294326782226562
2022-02-02,22.49553108215332
2022-02-03,22.294326782226562
2022-02-04,21.674928665161133
2022-02-07,22.05367088317871
2022-02-08,22.54682159423828
2022-02-09,22.68490219116211
2022-02-10,22.57443618774414
2022-02-11,22.42452049255371
2022-02-14,21.757780075073242
2022-02-15,22.187808990478516
2022-02-16,22.093120574951172
2022-02-17,21.453998565673828
2022-02-18,21.24095916748047
2022-02-21,20.964794158935547
2022-02-22,20.751750946044922
2022-02-23,20.60972785949707
2022-02-24,19.355152130126953
2022-02-25,19.544523239135742
2022-02-28,19.153947830200195
2022-03-01,18.32940101623535
2022-03-02,18.404359817504883
2022-03-03,18.534549713134766
2022-03-04,17.56008529663086
2022-03-07,17.532470703125
2022-03-08,17.804689407348633
2022-03-09,19.20523452758789
2022-03-10,18.648962020874023
2022-03-11,19.015865325927734
2022-03-14,19.62737274169922
2022-03-15,19.77729034423828
2022-03-16,20.167863845825195
2022-03-17,20.203371047973633
2022-03-18,20.10079574584961
2022-03-21,20.152084350585938
2022-03-22,20.518985748291016
2022-03-23,20.2901668548584
2022-03-24,20.254657745361328
2022-03-25,20.2901668548584
2022-03-28,20.412466049194336
2022-03-29,21.154163360595703
2022-03-30,20.933231353759766
2022-03-31,20.96084976196289
2022-04-01,21.122602462768555
2022-04-04,20.704410552978516
2022-04-05,20.325672149658203
2022-04-06,20.286218643188477
2022-04-07,20.108686447143555
2022-04-08,20.32961654663086
2022-04-11,20.909561157226562
2022-04-12,21.126548767089844
2022-04-13,21.03580665588379
2022-04-14,21.304080963134766
2022-04-19,20.980575561523438
2022-04-20,21.42638397216797
2022-04-21,21.375097274780273
2022-04-22,21.012136459350586
2022-04-25,20.337507247924805
2022-04-26,20.459808349609375
2022-04-27,20.28227424621582
2022-04-28,20.270437240600586
2022-04-29,20.088958740234375
2022-05-02,19.871973037719727
2022-05-03,20.11263084411621
2022-05-04,19.85224723815918
2022-05-05,19.469562530517578
2022-05-06,19.18343162536621
2022-05-09,18.71636390686035
2022-05-10,18.909923553466797
2022-05-11,19.322288513183594
2022-05-12,19.065614700317383
2022-05-13,19.36016082763672
2022-05-16,19.389616012573242
2022-05-17,19.8482666015625
2022-05-18,19.709409713745117
2022-05-19,19.393823623657227
2022-05-20,19.456941604614258
2022-05-23,19.7136173248291
2022-05-24,19.663122177124023
2022-05-25,19.890344619750977
2022-05-26,20.16385269165039
2022-05-27,20.424739837646484
2022-05-30,20.298505783081055
