Date,BMW.DE
2016-05-18,43.94548797607422
2016-05-19,43.7411994934082
2016-05-20,44.3849983215332
2016-05-23,43.840248107910156
2016-05-24,44.65737533569336
2016-05-25,45.72212219238281
2016-05-26,46.706382751464844
2016-05-27,46.52687454223633
2016-05-30,46.89829635620117
2016-05-31,46.9787712097168
2016-06-01,45.76545333862305
2016-06-02,45.83973693847656
2016-06-03,44.737850189208984
2016-06-06,44.71928024291992
2016-06-07,45.70355224609375
2016-06-08,45.18975067138672
2016-06-09,44.47166442871094
2016-06-10,43.76596450805664
2016-06-13,42.924068450927734
2016-06-14,41.84695053100586
2016-06-15,42.44122314453125
2016-06-16,42.2802734375
2016-06-17,42.695030212402344
2016-06-20,44.71928024291992
2016-06-21,44.966896057128906
2016-06-22,44.86166000366211
