Date,PNR
2016-04-28,33.884300231933594
2016-04-29,33.53211212158203
2016-05-02,34.05751419067383
2016-05-03,33.480167388916016
2016-05-04,32.83929443359375
2016-05-05,32.850852966308594
2016-05-06,33.566768646240234
2016-05-09,33.20880889892578
2016-05-10,33.6649169921875
2016-05-11,34.00554275512695
2016-05-12,34.190303802490234
2016-05-13,33.283851623535156
2016-05-16,33.81502151489258
2016-05-17,33.584075927734375
2016-05-18,34.219146728515625
2016-05-19,33.693782806396484
2016-05-20,33.76305389404297
2016-05-23,34.242252349853516
2016-05-24,34.68681335449219
2016-05-25,35.420040130615234
2016-05-26,35.125587463378906
2016-05-27,34.99279022216797
2016-05-31,34.779178619384766
2016-06-01,34.75032043457031
2016-06-02,35.073631286621094
2016-06-03,34.6406135559082
