Date,LTIM.NS
2017-04-28,629.0645141601562
2017-05-02,630.4387817382812
2017-05-03,629.4635009765625
2017-05-04,628.5325927734375
2017-05-05,650.0776977539062
2017-05-08,657.126220703125
2017-05-09,663.5545043945312
2017-05-10,666.2142944335938
2017-05-11,662.8895263671875
2017-05-12,670.1598510742188
2017-05-15,676.6322021484375
2017-05-16,685.5429077148438
2017-05-17,689.7542724609375
2017-05-18,688.6016235351562
2017-05-19,686.473876953125
2017-05-22,692.591552734375
2017-05-23,685.27685546875
2017-05-24,687.2274169921875
2017-05-25,699.0196533203125
2017-05-26,706.068359375
2017-05-29,687.3162231445312
2017-05-30,680.8435668945312
2017-05-31,709.8364868164062
2017-06-01,702.3001708984375
2017-06-02,695.02978515625
2017-06-05,694.0988159179688
2017-06-06,697.3350219726562
