Date,SCHNEIDER.NS
2016-06-14,140.14999389648438
2016-06-15,141.5500030517578
2016-06-16,139.3000030517578
2016-06-17,137.6999969482422
2016-06-20,138.35000610351562
2016-06-21,140.5
2016-06-22,138.85000610351562
2016-06-23,137.9499969482422
2016-06-24,134.60000610351562
2016-06-27,136.5500030517578
2016-06-28,136.60000610351562
2016-06-29,138.39999389648438
2016-06-30,138.5500030517578
2016-07-01,147.39999389648438
2016-07-04,150.14999389648438
2016-07-05,147.1999969482422
2016-07-07,151.4499969482422
2016-07-08,147.0
2016-07-11,146.5
2016-07-12,147.75
2016-07-13,146.6999969482422
2016-07-14,144.75
2016-07-15,142.75
2016-07-18,141.85000610351562
2016-07-19,141.14999389648438
2016-07-20,142.64999389648438
2016-07-21,141.60000610351562
2016-07-22,142.10000610351562
