Date,HTG.L
2021-03-01,264.0804138183594
2021-03-02,267.676025390625
2021-03-03,269.8734436035156
2021-03-04,268.8746032714844
2021-03-05,289.24993896484375
2021-03-08,279.4617614746094
2021-03-09,279.6615905761719
2021-03-10,267.27655029296875
2021-03-11,271.6712341308594
2021-03-12,274.8673400878906
2021-03-15,278.26324462890625
2021-03-16,271.471435546875
2021-03-17,272.8697814941406
2021-03-18,267.8758239746094
2021-03-19,268.6748352050781
2021-03-22,264.47991943359375
2021-03-23,255.4907989501953
2021-03-24,258.0876770019531
2021-03-25,251.8951416015625
2021-03-26,264.6796569824219
2021-03-29,260.6844787597656
2021-03-30,255.69056701660156
2021-03-31,255.69056701660156
2021-04-01,262.68212890625
2021-04-06,263.680908203125
2021-04-07,264.1802978515625
2021-04-08,274.1681823730469
2021-04-09,269.6736145019531
2021-04-12,266.67724609375
2021-04-13,269.1742858886719
2021-04-14,279.6615905761719
2021-04-15,277.16455078125
2021-04-16,272.66998291015625
2021-04-19,269.6736145019531
2021-04-20,266.67724609375
2021-04-21,259.68572998046875
2021-04-22,253.2216033935547
2021-04-23,250.72433471679688
2021-04-26,257.71661376953125
2021-04-27,251.2238006591797
2021-04-28,249.7254638671875
2021-04-29,245.2303924560547
2021-04-30,245.72984313964844
2021-05-04,240.23587036132812
2021-05-05,258.21612548828125
2021-05-06,257.71661376953125
2021-05-07,256.2182922363281
2021-05-10,263.7100830078125
2021-05-11,254.719970703125
2021-05-12,266.2073059082031
2021-05-13,258.7156066894531
2021-05-14,258.21612548828125
2021-05-17,258.7156066894531
2021-05-18,260.21392822265625
2021-05-19,254.719970703125
2021-05-20,249.7254638671875
2021-05-21,253.72105407714844
2021-05-24,254.719970703125
2021-05-25,249.7254638671875
2021-05-26,249.7254638671875
2021-05-27,264.20953369140625
2021-05-28,260.71331787109375
2021-06-01,272.2007141113281
2021-06-02,273.1996765136719
2021-06-03,265.7078552246094
2021-06-04,262.2117004394531
2021-06-07,255.21939086914062
2021-06-08,258.21612548828125
2021-06-09,253.72105407714844
2021-06-10,254.22047424316406
2021-06-11,251.2238006591797
2021-06-14,261.21282958984375
2021-06-15,255.71885681152344
2021-06-16,254.22047424316406
2021-06-17,242.23370361328125
2021-06-18,242.23370361328125
2021-06-21,245.72984313964844
2021-06-22,246.728759765625
2021-06-23,249.7254638671875
2021-06-24,240.23587036132812
2021-06-25,254.719970703125
2021-06-28,244.73095703125
2021-06-29,231.24574279785156
2021-06-30,220.25784301757812
2021-07-01,222.75509643554688
2021-07-02,223.75399780273438
2021-07-05,225.25234985351562
2021-07-06,219.75839233398438
2021-07-07,216.26223754882812
2021-07-08,204.7748565673828
2021-07-09,210.76828002929688
2021-07-12,206.7726593017578
2021-07-13,205.27432250976562
2021-07-14,207.27210998535156
2021-07-15,209.26992797851562
2021-07-16,207.7715606689453
2021-07-19,195.5849609375
2021-07-20,197.7825469970703
2021-07-21,205.27432250976562
2021-07-22,204.7748565673828
2021-07-23,204.7748565673828
2021-07-26,215.76280212402344
2021-07-27,214.76385498046875
2021-07-28,213.26551818847656
2021-07-29,212.7660675048828
2021-07-30,209.7693634033203
2021-08-02,209.7693634033203
2021-08-03,213.7649688720703
2021-08-04,208.27102661132812
2021-08-05,210.26881408691406
2021-08-06,208.7704620361328
2021-08-09,206.27322387695312
2021-08-10,206.7726593017578
2021-08-11,209.7693634033203
2021-08-12,206.7726593017578
2021-08-13,207.7715606689453
2021-08-16,205.27432250976562
2021-08-17,201.2787322998047
2021-08-18,199.38079833984375
2021-08-19,192.38848876953125
2021-08-20,192.78805541992188
2021-08-23,197.3830108642578
2021-08-24,201.77816772460938
2021-08-25,206.7726593017578
2021-08-26,197.7825469970703
2021-08-27,207.27210998535156
2021-08-31,209.7693634033203
2021-09-01,204.7748565673828
2021-09-02,209.26992797851562
2021-09-03,203.77593994140625
2021-09-06,207.7715606689453
2021-09-07,205.7737579345703
2021-09-08,211.26771545410156
2021-09-09,206.7726593017578
2021-09-10,201.77816772460938
2021-09-13,207.27210998535156
2021-09-14,201.77816772460938
2021-09-15,201.77816772460938
2021-09-16,208.27102661132812
2021-09-17,202.77703857421875
2021-09-20,198.18212890625
2021-09-21,201.77816772460938
2021-09-22,204.27540588378906
2021-09-23,208.27102661132812
2021-09-24,212.2666473388672
2021-09-27,220.25784301757812
2021-09-28,226.25125122070312
2021-09-29,227.74960327148438
2021-09-30,225.25234985351562
2021-10-01,225.25234985351562
2021-10-04,231.74522399902344
2021-10-05,230.24688720703125
2021-10-06,213.26551818847656
2021-10-07,204.802978515625
2021-10-08,212.7952880859375
2021-10-11,211.29672241210938
2021-10-12,206.80105590820312
2021-10-13,193.61375427246094
2021-10-14,198.40911865234375
2021-10-15,199.20835876464844
2021-10-18,200.8068389892578
2021-10-19,198.40911865234375
2021-10-20,197.80970764160156
2021-10-21,197.01048278808594
2021-10-22,192.21507263183594
2021-10-25,191.61566162109375
2021-10-26,191.61566162109375
2021-10-27,191.0162353515625
2021-10-28,173.832763671875
2021-10-29,169.2371826171875
2021-11-01,166.2400665283203
2021-11-02,170.43603515625
2021-11-03,167.83851623535156
2021-11-04,169.2371826171875
2021-11-05,170.43603515625
2021-11-08,168.03836059570312
2021-11-09,167.23910522460938
2021-11-10,162.64353942871094
2021-11-11,163.84237670898438
2021-11-12,161.64450073242188
2021-11-15,162.8433380126953
2021-11-16,158.6473846435547
2021-11-17,157.84815979003906
2021-11-18,156.44949340820312
2021-11-19,152.65313720703125
2021-11-22,156.2496795654297
2021-11-23,159.04698181152344
2021-11-24,159.84622192382812
2021-11-25,158.24777221679688
2021-11-26,151.45428466796875
2021-11-29,151.85391235351562
2021-11-30,147.25831604003906
2021-12-01,150.0556640625
2021-12-02,151.65411376953125
2021-12-03,148.4571990966797
2021-12-06,148.4571990966797
2021-12-07,155.85006713867188
2021-12-08,153.2525634765625
2021-12-09,150.85487365722656
2021-12-10,151.45428466796875
2021-12-13,144.26119995117188
2021-12-14,149.4562530517578
2021-12-15,144.86062622070312
2021-12-16,157.24871826171875
2021-12-17,159.84622192382812
2021-12-20,154.0518035888672
2021-12-21,159.6464080810547
2021-12-22,159.6464080810547
2021-12-23,159.4466094970703
2021-12-24,163.64256286621094
2021-12-29,159.84622192382812
2021-12-30,159.84622192382812
2021-12-31,169.03738403320312
2022-01-04,171.4351043701172
2022-01-05,183.42355346679688
2022-01-06,185.42160034179688
2022-01-07,186.62046813964844
2022-01-10,191.61566162109375
2022-01-11,199.8077850341797
2022-01-12,209.2986602783203
2022-01-13,219.78855895996094
2022-01-14,220.78759765625
2022-01-17,225.78280639648438
2022-01-18,226.28231811523438
2022-01-19,219.78855895996094
2022-01-20,219.28904724121094
2022-01-21,220.2880859375
2022-01-24,206.80105590820312
2022-01-25,217.29095458984375
2022-01-26,224.7837371826172
2022-01-27,224.7837371826172
2022-01-28,223.28518676757812
2022-01-31,215.79241943359375
2022-02-01,225.28326416015625
2022-02-02,224.28424072265625
2022-02-03,224.7837371826172
2022-02-04,229.2794189453125
2022-02-07,226.7818145751953
2022-02-08,237.27171325683594
2022-02-09,242.2669677734375
2022-02-10,251.75778198242188
2022-02-11,256.25347900390625
2022-02-14,250.75875854492188
2022-02-15,247.7616424560547
2022-02-16,255.25442504882812
2022-02-17,254.25538635253906
2022-02-18,251.25830078125
2022-02-21,235.77316284179688
2022-02-22,232.77606201171875
2022-02-23,229.2794189453125
2022-02-24,233.2755889892578
2022-02-25,230.2784881591797
2022-02-28,233.77508544921875
2022-03-01,229.7789306640625
2022-03-02,238.7703094482422
2022-03-03,219.28904724121094
2022-03-04,225.78280639648438
2022-03-07,262.74725341796875
2022-03-08,297.713623046875
2022-03-09,296.7145080566406
2022-03-10,301.2102355957031
2022-03-11,319.69244384765625
2022-03-14,318.1939392089844
2022-03-15,317.1948547363281
2022-03-16,316.1957702636719
2022-03-17,328.6838073730469
2022-03-18,328.6838073730469
2022-03-21,327.68475341796875
2022-03-22,318.1939392089844
2022-03-23,319.69244384765625
2022-03-24,318.1939392089844
2022-03-25,319.19293212890625
2022-03-28,305.2063903808594
2022-03-29,302.2092590332031
2022-03-30,299.711669921875
2022-03-31,300.211181640625
2022-04-01,308.2034912109375
2022-04-04,314.19775390625
2022-04-05,315.6963195800781
2022-04-06,313.1986999511719
2022-04-07,316.1957702636719
2022-04-08,325.1871643066406
2022-04-11,321.6905212402344
2022-04-12,323.1890563964844
2022-04-13,318.1939392089844
2022-04-14,315.19677734375
2022-04-19,320.6914978027344
2022-04-20,302.7087707519531
2022-04-21,296.24609375
2022-04-22,285.7550964355469
2022-04-25,275.7636413574219
2022-04-26,278.7611083984375
2022-04-27,274.7644958496094
2022-04-28,282.25811767578125
2022-04-29,289.75164794921875
2022-05-03,297.2452392578125
2022-05-04,297.74481201171875
2022-05-05,292.7491149902344
2022-05-06,291.2503662109375
2022-05-09,282.25811767578125
2022-05-10,281.75848388671875
2022-05-11,293.2486572265625
2022-05-12,284.25634765625
2022-05-13,294.7474060058594
2022-05-16,307.7362976074219
2022-05-17,309.2349548339844
2022-05-18,316.728515625
2022-05-19,313.7311096191406
2022-05-20,320.72509765625
2022-05-23,319.7259826660156
2022-05-24,319.7259826660156
2022-05-25,327.21954345703125
2022-05-26,334.7131042480469
2022-05-27,338.21014404296875
2022-05-30,331.21612548828125
2022-05-31,331.21612548828125
2022-06-01,337.21099853515625
2022-06-06,339.7088317871094
2022-06-07,347.7019958496094
2022-06-08,356.1947021484375
2022-06-09,346.2032470703125
2022-06-10,324.2221374511719
2022-06-13,310.234130859375
2022-06-14,304.73883056640625
2022-06-15,287.2537536621094
2022-06-16,270.26837158203125
2022-06-17,268.7696533203125
2022-06-20,274.7644958496094
2022-06-21,282.7576599121094
2022-06-22,270.7679443359375
2022-06-23,261.775634765625
2022-06-24,262.7747802734375
2022-06-27,272.7662048339844
2022-06-28,272.2666320800781
2022-06-29,273.2658386230469
2022-06-30,215.81504821777344
2022-07-01,203.82530212402344
2022-07-04,210.31973266601562
2022-07-05,197.23097229003906
2022-07-06,190.63661193847656
2022-07-07,198.429931640625
2022-07-08,199.229248046875
2022-07-11,197.63063049316406
2022-07-12,192.43505859375
2022-07-13,187.43934631347656
2022-07-14,192.43505859375
2022-07-15,195.8321533203125
2022-07-18,204.82444763183594
2022-07-19,205.3240203857422
2022-07-20,207.32229614257812
2022-07-21,200.827880859375
2022-07-22,201.3274688720703
2022-07-25,203.32574462890625
2022-07-26,200.827880859375
2022-07-27,209.32061767578125
2022-07-28,210.81930541992188
2022-07-29,215.81504821777344
2022-08-01,212.31802368164062
2022-08-02,213.31716918945312
2022-08-03,217.81332397460938
2022-08-04,208.3214569091797
2022-08-05,213.31716918945312
2022-08-08,215.81504821777344
2022-08-09,221.31031799316406
