Date,JDW.L
2020-11-27,1147.734375
2020-11-30,1103.74462890625
2020-12-01,1174.728271484375
2020-12-02,1151.7335205078125
2020-12-03,1152.7332763671875
2020-12-04,1177.7274169921875
2020-12-07,1157.7320556640625
2020-12-08,1125.739501953125
2020-12-09,1132.7379150390625
2020-12-10,1092.7471923828125
2020-12-11,1064.753662109375
2020-12-14,1040.7591552734375
2020-12-15,1069.7525634765625
2020-12-16,1061.75439453125
2020-12-17,1116.7415771484375
2020-12-18,1068.752685546875
2020-12-21,1030.761474609375
2020-12-22,1038.7596435546875
2020-12-23,1101.7449951171875
2020-12-24,1151.7335205078125
2020-12-29,1122.740234375
2020-12-30,1130.7384033203125
2020-12-31,1115.7418212890625
2021-01-04,1042.7587890625
2021-01-05,1094.7467041015625
2021-01-06,1091.747314453125
2021-01-07,1071.7520751953125
2021-01-08,1122.740234375
2021-01-11,1107.74365234375
2021-01-12,1122.740234375
2021-01-13,1114.7420654296875
2021-01-14,1123.739990234375
2021-01-15,1120.74072265625
2021-01-18,1135.7371826171875
2021-01-19,1182.726318359375
2021-01-20,1243.712158203125
2021-01-21,1234.71435546875
2021-01-22,1205.720947265625
2021-01-25,1179.72705078125
2021-01-26,1167.729736328125
2021-01-27,1166.7301025390625
2021-01-28,1146.7347412109375
2021-01-29,1150.7337646484375
2021-02-01,1179.72705078125
2021-02-02,1218.718017578125
2021-02-03,1275.704833984375
2021-02-04,1260.7083740234375
2021-02-05,1299.69921875
2021-02-08,1265.7071533203125
2021-02-09,1284.7027587890625
2021-02-10,1250.710693359375
2021-02-11,1217.71826171875
2021-02-12,1213.7191162109375
2021-02-15,1287.7020263671875
2021-02-16,1275.704833984375
2021-02-17,1252.710205078125
2021-02-18,1236.7138671875
2021-02-19,1235.714111328125
2021-02-22,1337.6904296875
2021-02-23,1278.7042236328125
2021-02-24,1305.6978759765625
2021-02-25,1275.704833984375
2021-02-26,1235.714111328125
2021-03-01,1279.703857421875
2021-03-02,1245.7117919921875
2021-03-03,1320.6944580078125
2021-03-04,1278.7042236328125
2021-03-05,1250.710693359375
2021-03-08,1270.7060546875
2021-03-09,1295.7001953125
2021-03-10,1299.69921875
2021-03-11,1334.6912841796875
2021-03-12,1355.686279296875
2021-03-15,1378.6810302734375
2021-03-16,1396.6768798828125
2021-03-17,1387.678955078125
2021-03-18,1319.6947021484375
2021-03-19,1288.701904296875
2021-03-22,1308.697265625
2021-03-23,1313.696044921875
2021-03-24,1349.687744140625
2021-03-25,1333.69140625
2021-03-26,1335.69091796875
2021-03-29,1338.6903076171875
2021-03-30,1360.6851806640625
2021-03-31,1357.6859130859375
2021-04-01,1364.684326171875
2021-04-06,1403.6751708984375
2021-04-07,1399.6761474609375
2021-04-08,1393.677490234375
2021-04-09,1399.6761474609375
2021-04-12,1373.68212890625
2021-04-13,1391.677978515625
2021-04-14,1389.678466796875
2021-04-15,1368.683349609375
2021-04-16,1383.6798095703125
2021-04-19,1362.684814453125
2021-04-20,1322.6939697265625
2021-04-21,1342.6893310546875
2021-04-22,1373.68212890625
2021-04-23,1376.6815185546875
2021-04-26,1393.677490234375
2021-04-27,1364.684326171875
2021-04-28,1350.6875
2021-04-29,1341.6895751953125
2021-04-30,1335.69091796875
2021-05-04,1338.6903076171875
2021-05-05,1334.6912841796875
2021-05-06,1333.69140625
2021-05-07,1366.683837890625
2021-05-10,1390.6783447265625
2021-05-11,1341.6895751953125
2021-05-12,1352.6871337890625
2021-05-13,1326.693115234375
2021-05-14,1351.687255859375
2021-05-17,1307.6973876953125
2021-05-18,1335.69091796875
2021-05-19,1303.6983642578125
2021-05-20,1312.6962890625
2021-05-21,1336.6907958984375
2021-05-24,1385.679443359375
2021-05-25,1356.6861572265625
2021-05-26,1369.68310546875
2021-05-27,1353.686767578125
2021-05-28,1316.6954345703125
2021-06-01,1350.6875
2021-06-02,1337.6904296875
2021-06-03,1314.69580078125
2021-06-04,1326.693115234375
2021-06-07,1324.693603515625
2021-06-08,1328.692626953125
2021-06-09,1329.6923828125
2021-06-10,1278.7042236328125
2021-06-11,1287.7020263671875
2021-06-14,1236.7138671875
2021-06-15,1247.7113037109375
2021-06-16,1224.7166748046875
2021-06-17,1218.718017578125
2021-06-18,1189.7247314453125
2021-06-21,1211.7196044921875
2021-06-22,1231.7149658203125
2021-06-23,1237.713623046875
2021-06-24,1216.718505859375
2021-06-25,1209.7200927734375
2021-06-28,1193.7237548828125
2021-06-29,1179.72705078125
2021-06-30,1177.7274169921875
2021-07-01,1216.718505859375
2021-07-02,1233.7144775390625
2021-07-05,1272.70556640625
2021-07-06,1238.71337890625
2021-07-07,1214.718994140625
2021-07-08,1162.73095703125
2021-07-09,1167.729736328125
2021-07-12,1111.74267578125
2021-07-13,1088.748046875
2021-07-14,1086.74853515625
2021-07-15,1061.75439453125
2021-07-16,1073.7515869140625
2021-07-19,1045.758056640625
2021-07-20,1059.7548828125
2021-07-21,1123.739990234375
2021-07-22,1113.7423095703125
2021-07-23,1123.739990234375
2021-07-26,1149.73388671875
2021-07-27,1166.7301025390625
2021-07-28,1159.7315673828125
2021-07-29,1164.7305908203125
2021-07-30,1134.7374267578125
2021-08-02,1153.7330322265625
2021-08-03,1141.73583984375
2021-08-04,1118.7412109375
2021-08-05,1154.7327880859375
2021-08-06,1141.73583984375
2021-08-09,1146.7347412109375
2021-08-10,1134.7374267578125
2021-08-11,1132.7379150390625
2021-08-12,1124.73974609375
2021-08-13,1142.735595703125
2021-08-16,1125.739501953125
2021-08-17,1115.7418212890625
2021-08-18,1155.7325439453125
2021-08-19,1115.7418212890625
2021-08-20,1117.7413330078125
2021-08-23,1097.7459716796875
2021-08-24,1124.73974609375
2021-08-25,1130.7384033203125
2021-08-26,1114.7420654296875
2021-08-27,1111.74267578125
2021-08-31,1112.7425537109375
2021-09-01,1117.7413330078125
2021-09-02,1119.7408447265625
2021-09-03,1096.7462158203125
2021-09-06,1098.7457275390625
2021-09-07,1081.749755859375
2021-09-08,1055.7557373046875
2021-09-09,1059.7548828125
2021-09-10,1055.7557373046875
2021-09-13,1059.7548828125
2021-09-14,1045.758056640625
2021-09-15,1004.7675170898438
2021-09-16,1040.7591552734375
2021-09-17,1054.7559814453125
2021-09-20,1073.7515869140625
2021-09-21,1074.7513427734375
2021-09-22,1059.7548828125
2021-09-23,1074.7513427734375
2021-09-24,1094.7467041015625
2021-09-27,1079.750244140625
2021-09-28,1059.7548828125
2021-09-29,1043.758544921875
2021-09-30,1042.7587890625
2021-10-01,1068.752685546875
2021-10-04,1018.7642822265625
2021-10-05,1031.7613525390625
2021-10-06,975.2743530273438
2021-10-07,979.2734375
2021-10-08,971.2752685546875
2021-10-11,960.27783203125
2021-10-12,945.2813110351562
2021-10-13,942.7818603515625
2021-10-14,964.2769165039062
2021-10-15,964.7767333984375
2021-10-18,946.7809448242188
2021-10-19,958.2783203125
2021-10-20,957.7783813476562
2021-10-21,963.7769775390625
2021-10-22,952.779541015625
2021-10-25,947.7807006835938
2021-10-26,986.7716674804688
2021-10-27,1038.7596435546875
2021-10-28,1034.7606201171875
2021-10-29,1022.7633666992188
2021-11-01,1032.760986328125
2021-11-02,995.2697143554688
2021-11-03,972.77490234375
2021-11-04,995.7695922851562
2021-11-05,1040.7591552734375
2021-11-08,1030.761474609375
2021-11-09,1028.761962890625
2021-11-10,954.2792358398438
2021-11-11,958.2783203125
2021-11-12,941.7821044921875
2021-11-15,934.2838134765625
2021-11-16,927.2854614257812
2021-11-17,924.7860107421875
2021-11-18,934.2838134765625
2021-11-19,919.7871704101562
2021-11-22,907.7899169921875
2021-11-23,916.2880249023438
2021-11-24,913.2886962890625
2021-11-25,926.7855224609375
2021-11-26,891.793701171875
2021-11-29,886.7948608398438
2021-11-30,857.3016357421875
2021-12-01,872.2981567382812
2021-12-02,852.3027954101562
2021-12-03,847.303955078125
2021-12-06,899.2919311523438
2021-12-07,905.7904663085938
2021-12-08,890.7939453125
2021-12-09,879.2965698242188
2021-12-10,866.7994995117188
2021-12-13,819.8103637695312
2021-12-14,821.8098754882812
2021-12-15,810.8124389648438
2021-12-16,817.810791015625
2021-12-17,851.3030395507812
2021-12-20,844.8045654296875
2021-12-21,871.2984008789062
2021-12-22,894.2930908203125
2021-12-23,917.78759765625
2021-12-24,929.2849731445312
2021-12-29,932.7841796875
2021-12-30,943.7816162109375
2021-12-31,960.7777099609375
2022-01-04,964.2769165039062
2022-01-05,972.77490234375
