Date,CRES.BA
2016-04-25,10.47611141204834
2016-04-26,10.678875923156738
2016-04-27,10.577494621276855
2016-04-28,10.171967506408691
2016-04-29,10.205760955810547
2016-05-02,10.002998352050781
2016-05-03,9.732646942138672
2016-05-04,9.732646942138672
2016-05-05,9.597471237182617
2016-05-06,9.597471237182617
2016-05-09,9.665059089660645
2016-05-10,9.935410499572754
2016-05-11,9.935410499572754
2016-05-12,9.766440391540527
2016-05-13,9.766440391540527
2016-05-16,9.834029197692871
2016-05-17,9.665059089660645
2016-05-18,9.563676834106445
2016-05-19,9.563676834106445
2016-05-20,10.27334976196289
2016-05-23,10.814051628112793
2016-05-24,10.780258178710938
2016-05-26,10.949228286743164
2016-05-27,11.118197441101074
