Date,XEL
2016-04-28,30.042682647705078
2016-04-29,30.110383987426758
2016-05-02,30.471435546875
2016-05-03,30.50152015686035
2016-05-04,30.847532272338867
2016-05-05,30.719655990600586
2016-05-06,30.43383026123047
2016-05-09,30.960365295410156
2016-05-10,31.110807418823242
2016-05-11,31.125839233398438
2016-05-12,31.4793643951416
2016-05-13,31.374073028564453
2016-05-16,31.404170989990234
2016-05-17,30.734708786010742
2016-05-18,30.155517578125
2016-05-19,30.471435546875
2016-05-20,30.44133949279785
2016-05-23,30.132951736450195
2016-05-24,30.50904655456543
2016-05-25,30.36612892150879
2016-05-26,30.75728416442871
2016-05-27,30.779842376708984
2016-05-31,31.11832046508789
2016-06-01,31.261249542236328
2016-06-02,31.140888214111328
2016-06-03,31.735124588012695
2016-06-06,31.62982177734375
