Date,EXE
2021-11-04,53.945919036865234
2021-11-05,54.126834869384766
2021-11-08,54.45576858520508
2021-11-09,55.40147018432617
2021-11-10,51.890052795410156
2021-11-11,52.992000579833984
2021-11-12,51.74203109741211
2021-11-15,51.322635650634766
2021-11-16,51.22394943237305
2021-11-17,52.42457580566406
2021-11-18,52.819313049316406
2021-11-19,50.77165603637695
2021-11-22,50.34404373168945
2021-11-23,52.95972442626953
2021-11-24,53.5726432800293
2021-11-26,52.943153381347656
2021-11-29,50.8310661315918
2021-11-30,49.31532669067383
2021-12-01,47.211517333984375
2021-12-02,50.425209045410156
2021-12-03,49.969661712646484
2021-12-06,49.52239990234375
2021-12-07,52.330238342285156
2021-12-08,53.39042663574219
2021-12-09,52.44619369506836
2021-12-10,52.84376525878906
2021-12-13,51.2783317565918
