Date,CEATLTD.NS
2016-05-30,852.3863525390625
2016-05-31,845.9773559570312
2016-06-01,830.5960083007812
2016-06-02,836.2266235351562
2016-06-03,823.4547119140625
2016-06-06,826.155517578125
2016-06-07,827.2999267578125
2016-06-08,831.008056640625
2016-06-09,828.764892578125
2016-06-10,816.0843505859375
2016-06-13,800.7487182617188
2016-06-14,798.4598999023438
2016-06-15,793.7446899414062
2016-06-16,783.3531494140625
2016-06-17,761.0591430664062
2016-06-20,768.337890625
2016-06-21,761.10498046875
2016-06-22,751.6290283203125
2016-06-23,742.1071166992188
2016-06-24,707.361572265625
2016-06-27,727.5497436523438
2016-06-28,745.5404663085938
2016-06-29,778.7294921875
2016-06-30,768.0174560546875
2016-07-01,790.265625
2016-07-04,808.7599487304688
2016-07-05,793.3783569335938
