Date,TEN.MI
2016-05-16,8.457334518432617
2016-05-17,8.646894454956055
2016-05-18,8.676058769226074
2016-05-19,8.391718864440918
2016-05-20,8.566697120666504
2016-05-23,8.626550674438477
2016-05-24,8.73129653930664
2016-05-25,8.753741264343262
2016-05-26,8.955751419067383
2016-05-27,8.97819709777832
2016-05-30,8.985678672790527
2016-05-31,8.910861015319824
2016-06-01,8.80611515045166
2016-06-02,8.678923606872559
2016-06-03,8.648996353149414
2016-06-06,9.082942962646484
2016-06-07,9.531852722167969
2016-06-08,9.696453094482422
2016-06-09,9.524372100830078
2016-06-10,9.494441986083984
2016-06-13,9.284950256347656
2016-06-14,9.157761573791504
2016-06-15,9.344805717468262
2016-06-16,9.172721862792969
2016-06-17,9.404662132263184
2016-06-20,9.666524887084961
2016-06-21,9.524372100830078
