Date,NI
2016-04-28,16.736732482910156
2016-04-29,16.85548210144043
2016-05-02,17.041032791137695
2016-05-03,17.152360916137695
2016-05-04,17.464092254638672
2016-05-05,17.426979064941406
2016-05-06,17.37502098083496
2016-05-09,17.51604652404785
2016-05-10,17.464092254638672
2016-05-11,17.657066345214844
2016-05-12,17.78323745727539
2016-05-13,17.901996612548828
2016-05-16,18.035587310791016
2016-05-17,17.738706588745117
2016-05-18,17.404714584350586
2016-05-19,17.456666946411133
2016-05-20,17.679330825805664
2016-05-23,17.57541847229004
2016-05-24,17.86488151550293
2016-05-25,17.775815963745117
2016-05-26,17.842615127563477
2016-05-27,17.901996612548828
2016-05-31,17.709030151367188
2016-06-01,17.835195541381836
2016-06-02,17.805498123168945
2016-06-03,18.154338836669922
