Date,DHR
2016-04-28,39.785579681396484
2016-04-29,39.95073699951172
2016-05-02,40.21501922607422
2016-05-03,40.00442123413086
2016-05-04,39.603885650634766
2016-05-05,39.686458587646484
2016-05-06,40.09939956665039
2016-05-09,40.078765869140625
2016-05-10,40.59904479980469
2016-05-11,40.42974090576172
2016-05-12,40.51644515991211
2016-05-13,40.206756591796875
2016-05-16,40.73529815673828
2016-05-17,40.64858627319336
2016-05-18,40.60316467285156
2016-05-19,40.454524993896484
2016-05-20,40.776588439941406
2016-05-23,40.81377029418945
2016-05-24,41.280364990234375
2016-05-25,41.15235900878906
2016-05-26,40.96241760253906
2016-05-27,40.8426628112793
2016-05-31,40.61555480957031
2016-06-01,40.79753875732422
2016-06-02,40.79753875732422
2016-06-03,40.652774810791016
