Date,OEST.BA
2016-05-20,7.238466262817383
2016-05-23,7.268376350402832
2016-05-24,6.999178409576416
2016-05-26,7.11882209777832
2016-05-27,7.11882209777832
2016-05-30,7.148733615875244
2016-05-31,7.148733615875244
2016-06-01,7.059000492095947
2016-06-02,6.999178409576416
2016-06-03,6.96926736831665
2016-06-06,6.939358234405518
2016-06-07,6.96926736831665
2016-06-08,6.96926736831665
2016-06-09,6.879534721374512
2016-06-10,6.879534721374512
2016-06-13,6.819712162017822
2016-06-14,6.819712162017822
2016-06-15,6.879534721374512
2016-06-16,6.939358234405518
2016-06-21,6.879534721374512
2016-06-22,6.759890556335449
2016-06-23,6.849624156951904
2016-06-24,6.999178409576416
2016-06-27,6.879534721374512
2016-06-28,6.96926736831665
2016-06-29,6.939358234405518
2016-06-30,7.178644180297852
