Date,HUSQ-B.ST
2016-05-19,49.24970245361328
2016-05-20,49.5909309387207
2016-05-23,50.38711166381836
2016-05-24,51.031654357910156
2016-05-25,51.221214294433594
2016-05-26,51.221214294433594
2016-05-27,50.84208297729492
2016-05-30,50.576683044433594
2016-05-31,50.19754409790039
2016-06-01,49.40135955810547
2016-06-02,49.47718811035156
2016-06-03,49.89424514770508
2016-06-07,51.10746765136719
2016-06-08,51.0695686340332
2016-06-09,49.628841400146484
2016-06-10,49.098060607910156
2016-06-13,48.453529357910156
2016-06-14,47.505680084228516
2016-06-15,47.61942672729492
2016-06-16,46.709495544433594
2016-06-17,47.65734100341797
2016-06-20,49.36344528198242
2016-06-21,49.36344528198242
2016-06-22,49.47718811035156
2016-06-23,50.00798034667969
2016-06-27,45.83749008178711
2016-06-28,47.088626861572266
