Date,GPIL.NS
2016-05-30,14.955105781555176
2016-05-31,14.71034049987793
2016-06-01,14.93062973022461
2016-06-02,14.465577125549316
2016-06-03,14.159621238708496
2016-06-06,14.759293556213379
2016-06-07,14.68586540222168
2016-06-08,14.404385566711426
2016-06-09,14.759293556213379
2016-06-10,14.783770561218262
2016-06-13,14.698102951049805
2016-06-14,14.306479454040527
2016-06-15,14.649149894714355
2016-06-16,14.441100120544434
2016-06-17,14.428861618041992
2016-06-20,14.441100120544434
2016-06-21,14.13514518737793
2016-06-22,14.13514518737793
2016-06-23,14.049477577209473
2016-06-24,13.792474746704102
2016-06-27,13.559947967529297
2016-06-28,14.037239074707031
2016-06-29,15.12644100189209
2016-06-30,14.722579002380371
2016-07-01,14.88167667388916
2016-07-04,14.869439125061035
