Date,GAEL.NS
2016-05-27,12.82878589630127
2016-05-30,13.02133846282959
2016-05-31,12.900993347167969
2016-06-01,12.672337532043457
2016-06-02,12.756579399108887
2016-06-03,12.491819381713867
2016-06-06,12.900993347167969
2016-06-07,12.792682647705078
2016-06-08,12.852855682373047
2016-06-09,12.94913101196289
2016-06-10,12.816751480102539
2016-06-13,12.696407318115234
2016-06-14,12.768613815307617
2016-06-15,13.418476104736328
2016-06-16,14.477514266967773
2016-06-17,14.068341255187988
2016-06-20,14.58582592010498
2016-06-21,15.789274215698242
2016-06-22,15.175514221191406
2016-06-23,14.910755157470703
2016-06-24,14.670065879821777
2016-06-27,14.633962631225586
2016-06-28,15.139412879943848
2016-06-29,15.48841381072998
2016-06-30,14.730238914489746
2016-07-01,15.163480758666992
2016-07-04,15.235687255859375
