Date,BAER.SW
2016-03-11,30.576248168945312
2016-03-14,30.64664649963379
2016-03-15,30.10453987121582
2016-03-16,29.80885124206543
2016-03-17,29.752527236938477
2016-03-18,29.696205139160156
2016-03-21,29.428668975830078
2016-03-22,29.639881134033203
2016-03-23,29.428668975830078
2016-03-24,28.59790802001953
2016-03-29,28.73871421813965
2016-03-30,29.18929672241211
2016-03-31,29.07664680480957
2016-04-01,29.097774505615234
2016-04-04,28.42189598083496
2016-04-05,27.50665283203125
2016-04-06,27.710819244384766
2016-04-07,27.295442581176758
2016-04-08,27.760108947753906
2016-04-11,27.612260818481445
2016-04-12,27.577058792114258
2016-04-13,28.752798080444336
2016-04-14,29.435712814331055
2016-04-15,29.038022994995117
2016-04-18,28.958492279052734
2016-04-19,29.182634353637695
2016-04-20,29.536941528320312
2016-04-21,29.544166564941406
2016-04-22,29.58754539489746
2016-04-25,29.594783782958984
2016-04-26,29.978002548217773
2016-04-27,30.28168487548828
2016-04-28,30.31784439086914
2016-04-29,29.652624130249023
2016-05-02,29.43570899963379
2016-05-03,28.437889099121094
2016-05-04,28.02574348449707
2016-05-06,27.57744789123535
2016-05-09,28.018512725830078
2016-05-10,28.575271606445312
2016-05-11,28.41619873046875
2016-05-12,28.163127899169922
2016-05-13,28.300508499145508
2016-05-17,28.972951889038086
2016-05-18,29.385095596313477
2016-05-19,29.471860885620117
