Date,TRIDENT.NS
2016-05-23,3.7929422855377197
2016-05-24,3.7376277446746826
2016-05-25,4.0062947273254395
2016-05-26,4.101681709289551
2016-05-27,4.04603910446167
2016-05-30,4.002320289611816
2016-05-31,3.9586002826690674
2016-06-01,4.097708225250244
2016-06-02,4.0738606452941895
2016-06-03,3.994370937347412
2016-06-06,3.954624652862549
2016-06-07,3.9307799339294434
2016-06-08,3.938728094100952
2016-06-09,3.9586002826690674
2016-06-10,3.938728094100952
2016-06-13,3.89103364944458
2016-06-14,3.879110336303711
2016-06-15,3.9586002826690674
2016-06-16,3.93475341796875
2016-06-17,3.8592381477355957
2016-06-20,3.93475341796875
2016-06-21,4.248738765716553
2016-06-22,4.205018520355225
2016-06-23,3.990396499633789
2016-06-24,3.871161460876465
2016-06-27,3.954624652862549
