Date,NXT.L
2016-09-08,5608.58251953125
2016-09-09,5428.94873046875
2016-09-12,5279.25341796875
2016-09-13,5219.37646484375
2016-09-14,5199.416015625
2016-09-15,4946.9296875
2016-09-16,4994.8330078125
2016-09-19,5029.76123046875
2016-09-20,4887.05224609375
2016-09-21,4899.02783203125
2016-09-22,4901.02294921875
2016-09-23,4812.20458984375
2016-09-26,4716.39892578125
2016-09-27,4738.3544921875
2016-09-28,4771.2880859375
2016-09-29,4791.24755859375
2016-09-30,4766.29736328125
2016-10-03,4733.3642578125
2016-10-04,4795.23876953125
2016-10-05,4795.23876953125
2016-10-06,4737.3564453125
2016-10-07,4510.8173828125
2016-10-10,4524.7890625
2016-10-11,4702.4267578125
2016-10-12,4665.50341796875
2016-10-13,4569.6982421875
2016-10-14,4592.65185546875
2016-10-17,4494.8515625
2016-10-18,4734.36328125
2016-10-19,4863.1005859375
2016-10-20,4846.1337890625
2016-10-21,4800.2294921875
2016-10-24,4797.234375
2016-10-25,4710.41162109375
2016-10-26,4720.39111328125
2016-10-27,4796.23681640625
2016-10-28,4963.89599609375
2016-10-31,4806.21533203125
2016-11-01,4800.2294921875
2016-11-02,4968.88525390625
2016-11-03,5079.66015625
2016-11-04,4931.9599609375
2016-11-07,4977.86865234375
2016-11-08,5054.71142578125
2016-11-09,5049.72119140625
2016-11-10,4881.06396484375
2016-11-11,5029.76123046875
2016-11-14,5004.8125
2016-11-15,5109.5986328125
2016-11-16,5079.66015625
2016-11-17,5184.4462890625
2016-11-18,5079.66015625
2016-11-21,4999.82275390625
2016-11-22,5024.77197265625
2016-11-23,4956.90869140625
2016-11-24,4939.943359375
2016-11-25,4940.9423828125
2016-11-28,4810.20751953125
2016-11-29,4928.966796875
2016-11-30,4894.0380859375
2016-12-01,4867.09228515625
2016-12-02,4856.11572265625
2016-12-05,4844.14013671875
2016-12-06,4919.98486328125
2016-12-07,4947.927734375
2016-12-08,4860.62646484375
2016-12-09,4844.65771484375
2016-12-12,4785.7705078125
2016-12-13,4906.53759765625
2016-12-14,4860.62646484375
2016-12-15,4932.4873046875
2016-12-16,4940.47119140625
2016-12-19,4905.5400390625
2016-12-20,4953.447265625
2016-12-21,4921.5087890625
2016-12-22,4939.474609375
2016-12-23,4912.5263671875
2016-12-28,4916.51904296875
2016-12-29,4934.484375
2016-12-30,4973.408203125
2017-01-03,4760.81787109375
2017-01-04,4077.137451171875
2017-01-05,4081.129638671875
2017-01-06,4091.10986328125
2017-01-09,4029.2294921875
2017-01-10,4144.0078125
2017-01-11,4129.0380859375
2017-01-12,4025.2373046875
2017-01-13,4034.2197265625
2017-01-16,4038.212158203125
2017-01-17,4052.185546875
2017-01-18,3982.31982421875
2017-01-19,3986.3125
2017-01-20,3912.455078125
2017-01-23,3888.5009765625
2017-01-24,3818.635498046875
2017-01-25,3848.57763671875
2017-01-26,3857.560791015625
2017-01-27,3842.58935546875
2017-01-30,3878.5205078125
2017-01-31,3822.628173828125
2017-02-01,3865.545166015625
2017-02-02,3876.52392578125
2017-02-03,3877.522216796875
2017-02-06,3835.603515625
2017-02-07,3847.580078125
2017-02-08,3893.49072265625
2017-02-09,3921.43701171875
2017-02-10,3958.366455078125
2017-02-13,3923.43359375
2017-02-14,3945.39111328125
2017-02-15,3839.595458984375
2017-02-16,3844.585693359375
2017-02-17,3844.585693359375
2017-02-20,3835.603515625
2017-02-21,3804.662353515625
2017-02-22,3795.680419921875
2017-02-23,3809.653076171875
2017-02-24,3783.702880859375
2017-02-27,3802.666259765625
2017-02-28,3819.6337890625
2017-03-01,3995.294677734375
2017-03-02,3942.397216796875
2017-03-03,3939.40283203125
2017-03-06,3953.375732421875
2017-03-07,3956.36962890625
2017-03-08,3950.381103515625
2017-03-09,3982.31982421875
2017-03-10,3958.366455078125
2017-03-13,3962.358642578125
2017-03-14,3921.43701171875
2017-03-15,3889.49951171875
2017-03-16,3901.476318359375
2017-03-17,3869.537353515625
2017-03-20,3846.581787109375
2017-03-21,3857.560791015625
2017-03-22,3877.522216796875
2017-03-23,4190.91748046875
2017-03-24,4122.0498046875
2017-03-27,4223.85400390625
2017-03-28,4280.74462890625
2017-03-29,4311.685546875
2017-03-30,4251.80029296875
2017-03-31,4311.685546875
2017-04-03,4157.98193359375
2017-04-04,4122.0498046875
2017-04-05,4101.091796875
2017-04-06,4034.2197265625
2017-04-07,4015.2568359375
2017-04-10,4102.08935546875
2017-04-11,4114.06591796875
2017-04-12,4143.009765625
2017-04-13,4184.9296875
2017-04-18,4178.9404296875
2017-04-19,4312.6826171875
2017-04-20,4275.75439453125
2017-04-21,4270.76318359375
2017-04-24,4315.677734375
2017-04-25,4263.77685546875
2017-04-26,4234.8330078125
2017-04-27,4294.71728515625
2017-04-28,4296.71435546875
2017-05-02,4353.60498046875
2017-05-03,4401.51171875
2017-05-04,4176.94482421875
2017-05-05,4225.85009765625
