Date,GWW
2016-04-29,202.2081756591797
2016-05-02,202.1477813720703
2016-05-03,200.74237060546875
2016-05-04,197.5262451171875
2016-05-05,201.3317108154297
2016-05-06,201.52243041992188
2016-05-09,199.8754119873047
2016-05-10,201.23634338378906
2016-05-11,200.30882263183594
2016-05-12,197.43096923828125
2016-05-13,196.2520294189453
2016-05-16,198.37576293945312
2016-05-17,195.79263305664062
2016-05-18,195.0558319091797
2016-05-19,192.22122192382812
2016-05-20,192.94935607910156
2016-05-23,193.36549377441406
2016-05-24,196.1306610107422
2016-05-25,196.20001220703125
2016-05-26,197.222900390625
2016-05-27,195.80126953125
2016-05-31,197.9423828125
2016-06-01,197.78636169433594
2016-06-02,199.13865661621094
2016-06-03,197.4569549560547
2016-06-06,198.1590576171875
