Date,JINDALSAW.NS
2016-05-27,17.132753372192383
2016-05-30,17.2386417388916
2016-05-31,17.04804229736328
2016-06-01,19.547008514404297
2016-06-02,19.61054039001465
2016-06-03,19.081098556518555
2016-06-06,19.01757049560547
2016-06-07,18.99638557434082
2016-06-08,20.22469711303711
2016-06-09,21.30475616455078
2016-06-10,20.66942596435547
2016-06-13,20.732959747314453
2016-06-14,21.30475616455078
2016-06-15,21.580068588256836
2016-06-16,21.368289947509766
2016-06-17,21.622421264648438
2016-06-20,22.469528198242188
2016-06-21,23.21074867248535
2016-06-22,22.236574172973633
2016-06-23,22.024799346923828
2016-06-24,21.34711265563965
2016-06-27,22.278932571411133
2016-06-28,22.55423927307129
2016-06-29,22.80837059020996
2016-06-30,22.533063888549805
2016-07-01,22.766016006469727
2016-07-04,23.464879989624023
