Date,KAJARIACER.NS
2016-06-01,515.3179931640625
2016-06-02,536.8624267578125
2016-06-03,537.3987426757812
2016-06-06,545.6760864257812
2016-06-07,547.5181274414062
2016-06-08,552.274658203125
2016-06-09,554.46630859375
2016-06-10,535.8831176757812
2016-06-13,537.8883666992188
2016-06-14,535.7898559570312
2016-06-15,542.9248657226562
2016-06-16,549.0103149414062
2016-06-17,556.7047729492188
2016-06-20,555.5156860351562
2016-06-21,549.6864624023438
2016-06-22,544.277099609375
2016-06-23,534.6939697265625
2016-06-24,558.0805053710938
2016-06-27,544.9766235351562
2016-06-28,545.1863403320312
2016-06-29,555.7720947265625
2016-06-30,562.3939208984375
2016-07-01,559.6426391601562
2016-07-04,563.5365600585938
2016-07-05,565.5415649414062
2016-07-07,560.9717407226562
2016-07-08,572.4201049804688
