Date,GOAU3.SA
2016-03-10,1.1538243293762207
2016-03-11,1.132054090499878
2016-03-14,1.1102839708328247
2016-03-15,0.8980238437652588
2016-03-16,0.9633347988128662
2016-03-17,1.0993988513946533
2016-03-18,1.1266119480133057
2016-03-21,1.1538243293762207
2016-03-22,1.170152187347412
2016-03-23,1.1048414707183838
2016-03-24,1.1157264709472656
2016-03-28,1.2028075456619263
2016-03-29,1.2245780229568481
2016-03-30,1.3225444555282593
2016-03-31,1.3824121952056885
2016-04-01,1.387854814529419
2016-04-04,1.3007738590240479
2016-04-05,1.3824121952056885
2016-04-06,1.3116587400436401
2016-04-07,1.268118143081665
2016-04-08,1.3497569561004639
2016-04-11,1.3606421947479248
2016-04-12,1.4368383884429932
2016-04-13,1.6436556577682495
2016-04-14,1.4912642240524292
2016-04-15,1.5293620824813843
2016-04-18,1.5783452987670898
2016-04-19,1.600115180015564
2016-04-20,1.6327706575393677
2016-04-22,1.600115180015564
2016-04-25,1.5130341053009033
2016-04-26,1.5184762477874756
2016-04-27,1.6164430379867554
2016-04-28,1.5674598217010498
2016-04-29,1.594672441482544
2016-05-02,1.5348048210144043
2016-05-03,1.4749361276626587
2016-05-04,1.5130341053009033
2016-05-05,1.4586087465286255
2016-05-06,1.496706247329712
2016-05-09,1.4259529113769531
2016-05-10,1.4694933891296387
2016-05-11,1.4694933891296387
2016-05-12,1.4640510082244873
