Date,AXISBANK.NS
2016-05-11,486.14605712890625
2016-05-12,480.6327209472656
2016-05-13,478.7787170410156
2016-05-16,474.6803283691406
2016-05-17,491.1714782714844
2016-05-18,488.9758605957031
2016-05-19,478.6323547363281
2016-05-20,478.7299499511719
2016-05-23,474.7291259765625
2016-05-24,477.119873046875
2016-05-25,490.00042724609375
2016-05-26,506.4427795410156
2016-05-27,500.0024719238281
2016-05-30,501.27099609375
2016-05-31,502.7347106933594
2016-06-01,499.5633544921875
2016-06-02,511.66326904296875
2016-06-03,529.5205688476562
2016-06-06,519.9577026367188
2016-06-07,521.47021484375
2016-06-08,525.9589233398438
2016-06-09,529.4717407226562
2016-06-10,527.959228515625
2016-06-13,518.2987670898438
2016-06-14,516.835205078125
2016-06-15,516.005615234375
2016-06-16,510.7851257324219
