Date,DGX
2016-04-28,62.59109115600586
2016-04-29,62.45813751220703
2016-05-02,62.44153594970703
2016-05-03,62.18394088745117
2016-05-04,62.30857849121094
2016-05-05,62.74065399169922
2016-05-06,62.964988708496094
2016-05-09,63.59645462036133
2016-05-10,63.40535354614258
2016-05-11,63.33887481689453
2016-05-12,62.91511154174805
2016-05-13,63.10622787475586
2016-05-16,63.812503814697266
2016-05-17,63.289031982421875
2016-05-18,63.75434875488281
2016-05-19,63.28074264526367
2016-05-20,63.579837799072266
2016-05-23,63.23086166381836
2016-05-24,64.49383544921875
2016-05-25,64.28610229492188
2016-05-26,64.17809295654297
2016-05-27,64.1531753540039
2016-05-31,64.11991882324219
2016-06-01,64.21129608154297
2016-06-02,64.9923324584961
2016-06-03,64.20301818847656
