Date,VAPORES.SN
2016-05-17,11.675213813781738
2016-05-18,11.649554252624512
2016-05-19,11.675213813781738
2016-05-20,11.615341186523438
2016-05-23,11.589680671691895
2016-05-24,11.700873374938965
2016-05-25,11.675213813781738
2016-05-26,11.555468559265137
2016-05-27,11.632448196411133
2016-05-30,11.615341186523438
2016-05-31,11.23044490814209
2016-06-01,11.36729621887207
2016-06-02,11.521254539489746
2016-06-03,11.623894691467285
2016-06-06,11.546915054321289
2016-06-07,11.546915054321289
2016-06-08,11.52980899810791
2016-06-09,11.632448196411133
2016-06-10,11.375849723815918
2016-06-13,11.298870086669922
2016-06-14,11.264656066894531
2016-06-15,11.3159761428833
2016-06-16,11.3159761428833
2016-06-17,11.333083152770996
2016-06-20,11.238997459411621
2016-06-21,11.375849723815918
2016-06-22,11.247550010681152
