Date,RJF
2016-04-28,30.726280212402344
2016-04-29,30.319473266601562
2016-05-02,30.685611724853516
2016-05-03,29.848730087280273
2016-05-04,29.662750244140625
2016-05-05,29.645307540893555
2016-05-06,29.5174617767334
2016-05-09,29.26755714416504
2016-05-10,30.37177276611328
2016-05-11,29.767358779907227
2016-05-12,29.80803680419922
2016-05-13,29.296615600585938
2016-05-16,29.505834579467773
2016-05-17,29.52326774597168
2016-05-18,30.569366455078125
2016-05-19,29.970767974853516
2016-05-20,30.44731903076172
2016-05-23,30.40663719177246
2016-05-24,31.127300262451172
2016-05-25,31.557348251342773
2016-05-26,31.661968231201172
2016-05-27,32.190826416015625
2016-05-31,32.586029052734375
2016-06-01,32.6673698425293
2016-06-02,32.88241195678711
2016-06-03,32.161773681640625
