Date,HEROMOTOCO.NS
2016-05-24,2167.88330078125
2016-05-25,2188.707275390625
2016-05-26,2214.8388671875
2016-05-27,2244.971435546875
2016-05-30,2316.003173828125
2016-05-31,2317.0498046875
2016-06-01,2309.722412109375
2016-06-02,2350.996337890625
2016-06-03,2352.416748046875
2016-06-06,2327.779541015625
2016-06-07,2340.0791015625
2016-06-08,2370.2861328125
2016-06-09,2307.927490234375
2016-06-10,2295.06787109375
2016-06-13,2270.35595703125
2016-06-14,2247.43896484375
2016-06-15,2290.955078125
2016-06-16,2258.6171875
2016-06-17,2265.83251953125
2016-06-20,2277.234375
2016-06-21,2282.768310546875
2016-06-22,2298.880859375
2016-06-23,2290.50634765625
2016-06-24,2287.029541015625
2016-06-27,2281.982421875
2016-06-28,2258.355224609375
2016-06-29,2360.155029296875
