Date,QUAL3.SA
2016-05-27,10.9154634475708
2016-05-30,11.347757339477539
2016-05-31,10.98751449584961
2016-06-01,11.772848129272461
2016-06-02,11.830489158630371
2016-06-03,11.8809232711792
2016-06-06,12.133095741271973
2016-06-07,12.529367446899414
2016-06-08,12.904022216796875
2016-06-09,12.75271987915039
2016-06-10,12.248373985290527
2016-06-13,12.428497314453125
2016-06-14,11.8809232711792
2016-06-15,12.50775146484375
2016-06-16,13.055326461791992
2016-06-17,12.839178085327148
2016-06-20,13.10576057434082
2016-06-21,12.716694831848145
2016-06-22,13.257065773010254
2016-06-23,13.574082374572754
2016-06-24,13.221041679382324
2016-06-27,13.401164054870605
2016-06-28,13.062532424926758
2016-06-29,13.019301414489746
2016-06-30,13.408370018005371
2016-07-01,12.868000984191895
2016-07-04,13.062532424926758
