Date,BAS.DE
2016-05-18,41.41884994506836
2016-05-19,40.7453727722168
2016-05-20,41.19843292236328
2016-05-23,41.16170120239258
2016-05-24,42.31273651123047
2016-05-25,42.710697174072266
2016-05-26,42.88825225830078
2016-05-27,42.808658599853516
2016-05-30,42.906620025634766
2016-05-31,42.50865936279297
2016-06-01,42.58212661743164
2016-06-02,42.57600402832031
2016-06-03,41.847415924072266
2016-06-06,42.141300201416016
2016-06-07,43.28009033203125
2016-06-08,42.99232864379883
2016-06-09,42.58212661743164
2016-06-10,41.4923095703125
2016-06-13,40.941287994384766
2016-06-14,40.69026184082031
2016-06-15,41.62089157104492
2016-06-16,41.53517150878906
2016-06-17,41.333133697509766
2016-06-20,42.680084228515625
2016-06-21,42.74130630493164
2016-06-22,43.17599868774414
