Date,MONIFTY500.NS
2024-07-18,23.329999923706055
2024-07-19,23.1299991607666
2024-07-22,23.18000030517578
2024-07-23,23.079999923706055
2024-07-24,23.079999923706055
2024-07-25,23.040000915527344
2024-07-26,23.350000381469727
2024-07-29,23.459999084472656
2024-07-30,23.579999923706055
2024-07-31,23.6200008392334
2024-08-01,23.639999389648438
2024-08-02,23.56999969482422
2024-08-05,23.34000015258789
2024-08-06,22.829999923706055
2024-08-07,23.09000015258789
2024-08-08,22.989999771118164
2024-08-09,23.0
2024-08-12,23.110000610351562
2024-08-13,22.950000762939453
2024-08-14,22.90999984741211
2024-08-16,23.149999618530273
2024-08-19,23.280000686645508
2024-08-20,23.40999984741211
2024-08-21,23.56999969482422
2024-08-22,23.6299991607666
2024-08-23,23.610000610351562
2024-08-26,23.6299991607666
