Date,GESHIP.NS
2016-05-31,233.38905334472656
2016-06-01,236.5388641357422
2016-06-02,235.3623504638672
2016-06-03,233.00950622558594
2016-06-06,231.64332580566406
2016-06-07,234.37562561035156
2016-06-08,233.00950622558594
2016-06-09,238.24658203125
2016-06-10,232.5161590576172
2016-06-13,234.41363525390625
2016-06-14,234.5654296875
2016-06-15,234.03411865234375
2016-06-16,235.0967559814453
2016-06-17,235.2486114501953
2016-06-20,233.12338256835938
2016-06-21,237.98089599609375
2016-06-22,237.67726135253906
2016-06-23,234.37562561035156
2016-06-24,229.17662048339844
2016-06-27,232.9715576171875
2016-06-28,233.88232421875
2016-06-29,237.10801696777344
2016-06-30,237.8290557861328
2016-07-01,236.15928649902344
2016-07-04,240.63734436035156
2016-07-05,249.8210906982422
2016-07-07,244.5081787109375
