Date,VEDL.NS
2016-05-27,35.9826774597168
2016-05-30,37.277774810791016
2016-05-31,37.995330810546875
2016-06-01,36.77023696899414
2016-06-02,37.36527633666992
2016-06-03,36.63022232055664
2016-06-06,37.190269470214844
2016-06-07,38.52037048339844
2016-06-08,39.20291519165039
2016-06-09,39.48292922973633
2016-06-10,40.8830451965332
2016-06-13,39.885459899902344
2016-06-14,40.16549301147461
2016-06-15,41.89811706542969
2016-06-16,42.86069107055664
2016-06-17,42.89568328857422
2016-06-20,44.97834777832031
2016-06-21,43.91075897216797
2016-06-22,44.36579513549805
2016-06-23,44.31330108642578
2016-06-24,41.25056457519531
2016-06-27,42.82570266723633
2016-06-28,43.105712890625
2016-06-29,44.5758171081543
2016-06-30,46.18593978881836
2016-07-01,47.32351303100586
2016-07-04,48.531105041503906
