Date,UNOMINDA.NS
2016-05-27,37.99927520751953
2016-05-30,37.52722930908203
2016-05-31,38.57282257080078
2016-06-01,37.681888580322266
2016-06-02,37.644832611083984
2016-06-03,37.93967056274414
2016-06-06,37.69961166381836
2016-06-07,37.535282135009766
2016-06-08,37.63033676147461
2016-06-09,37.61100769042969
2016-06-10,37.66739273071289
2016-06-13,37.420902252197266
2016-06-14,37.36934280395508
2016-06-15,36.91017532348633
2016-06-16,37.93161392211914
2016-06-17,37.644832611083984
2016-06-20,37.242061614990234
2016-06-21,37.51594543457031
2016-06-22,37.29362106323242
2016-06-23,37.09867858886719
2016-06-24,37.435401916503906
2016-06-27,37.34355545043945
2016-06-28,37.19695281982422
2016-06-29,37.61906051635742
2016-06-30,37.60617446899414
2016-07-01,37.35646438598633
2016-07-04,37.53044891357422
