Date,LUND-B.ST
2016-05-20,211.04710388183594
2016-05-23,213.04823303222656
2016-05-24,214.53744506835938
2016-05-25,214.07205200195312
2016-05-26,217.05044555664062
2016-05-27,222.49530029296875
2016-05-30,222.30918884277344
2016-05-31,223.98451232910156
2016-06-01,220.6803741455078
2016-06-02,222.68148803710938
2016-06-03,220.8199920654297
2016-06-07,221.05267333984375
2016-06-08,221.98341369628906
2016-06-09,220.4476776123047
2016-06-10,216.5850830078125
2016-06-13,211.652099609375
2016-06-14,208.9529266357422
2016-06-15,209.88368225097656
2016-06-16,205.9745635986328
2016-06-17,209.18560791015625
2016-06-20,214.8632049560547
2016-06-21,216.8177490234375
2016-06-22,217.74850463867188
2016-06-23,220.8199920654297
2016-06-27,210.5817413330078
2016-06-28,214.39781188964844
2016-06-29,220.49420166015625
