Date,CENCOSUD.SN
2016-05-10,1278.516357421875
2016-05-11,1298.54248046875
2016-05-12,1274.275390625
2016-05-13,1279.3463134765625
2016-05-16,1263.9166259765625
2016-05-17,1259.497802734375
2016-05-18,1285.938232421875
2016-05-19,1266.2344970703125
2016-05-20,1260.511962890625
2016-05-23,1273.26123046875
2016-05-24,1282.0987548828125
2016-05-25,1271.015625
2016-05-26,1314.04443359375
2016-05-27,1336.42822265625
2016-05-30,1336.5006103515625
2016-05-31,1327.5181884765625
2016-06-01,1324.2581787109375
2016-06-02,1321.5780029296875
2016-06-03,1349.612060546875
2016-06-06,1351.7850341796875
2016-06-07,1366.7801513671875
2016-06-08,1360.4052734375
2016-06-09,1332.5164794921875
2016-06-10,1309.480712890625
2016-06-13,1348.3082275390625
2016-06-14,1355.1898193359375
