Date,CCI
2016-04-28,59.49564743041992
2016-04-29,59.31816482543945
2016-05-02,59.76194381713867
2016-05-03,58.91532897949219
2016-05-04,60.02139663696289
2016-05-05,60.0418815612793
2016-05-06,60.314964294433594
2016-05-09,61.08652114868164
2016-05-10,61.84435272216797
2016-05-11,61.530296325683594
2016-05-12,61.76241683959961
2016-05-13,61.3459358215332
2016-05-16,61.68733215332031
2016-05-17,61.530296325683594
2016-05-18,61.78290557861328
2016-05-19,61.12746810913086
2016-05-20,61.39373779296875
2016-05-23,61.694156646728516
2016-05-24,62.32912063598633
2016-05-25,62.18573760986328
2016-05-26,62.001407623291016
2016-05-27,61.99456024169922
2016-05-31,62.001407623291016
2016-06-01,61.99456024169922
2016-06-02,62.67733383178711
2016-06-03,63.332786560058594
2016-06-06,63.52394485473633
