Date,ASML.AS
2016-05-17,76.71836853027344
2016-05-18,77.38763427734375
2016-05-19,76.25079345703125
2016-05-20,78.09358215332031
2016-05-23,78.24026489257812
2016-05-24,79.5421371459961
2016-05-25,80.98151397705078
2016-05-26,80.926513671875
2016-05-27,82.31087493896484
2016-05-30,82.03585815429688
2016-05-31,81.96247863769531
2016-06-01,81.5499267578125
2016-06-02,81.73329162597656
2016-06-03,81.36658477783203
2016-06-06,80.95401763916016
2016-06-07,81.49491882324219
2016-06-08,80.95401763916016
2016-06-09,80.9173583984375
2016-06-10,79.21207427978516
2016-06-13,78.37777709960938
2016-06-14,76.41583251953125
2016-06-15,76.9292221069336
2016-06-16,77.2501220703125
2016-06-17,76.4433364868164
2016-06-20,78.74451446533203
2016-06-21,79.9913558959961
2016-06-22,80.25725555419922
